finess,finessgeo,coordxet,coordyet
010005049,010005098,932590.3,6575825.2
010005080,010005106,848753.9,6594306.2
690793435,010005148,857279.1,6546679.6
010005130,010005155,848788.9,6594063.6
010005163,010005171,845430,6575429.9
010005197,010005205,937218.4,6577413.4
010005213,010005221,877043.4,6547278.4
010008407,010005239,902284.5,6578385.1
010005247,010005254,844910.3,6579377.3
010005262,010005270,841280.1,6538886
930019484,010005288,870276.2,6571244.3
010005296,010005304,851360.8,6538369.3
010005312,010005320,868866.8,6569053.6
010005346,010005353,869866.3,6569195.9
010010718,010005379,882724.8,6542583.8
010005361,010005387,880306.2,6541767
010005395,010005403,840139.8,6566003.4
010005411,010005437,876689.2,6579231.8
010005445,010005452,933059.4,6576093.9
010005460,010005486,932872.8,6575868.3
010005510,010005536,861977.1,6591457
010005544,010005551,841818.5,6580354
010005577,010005585,897021.4,6562736.8
010005593,010005601,853469.4,6527446.1
940031339,010005619,880861.6,6542212.5
010005627,010005635,870502.8,6526987.9
010005643,010005650,864198.5,6557435.2
010005676,010005684,888993.2,6541724.2
010005692,010005700,859498.7,6597840.7
010005726,010005734,846728.8,6554326.3
010005742,010005767,886760.1,6531328.6
010005775,010005783,936522.4,6581995.5
010005791,010005817,890549.7,6525994.5
010005825,010005833,919286.6,6543887.8
010005841,010005866,894518.5,6538510.9
010005874,010005882,929580.7,6574997.1
010005890,010005916,839256.2,6565362.2
010005924,010005932,878765.5,6562845.1
010005940,010005957,882280.5,6577236.6
010005965,010005973,838682.7,6538862.7
010005981,010006005,837947.9,6539362.5
010006013,010006021,938263.2,6582631.9
010006047,010006054,857204.5,6546744.5
010006062,010006070,857059.2,6546548.6
010006096,010006104,884765.5,6568582.6
010006112,010006120,872310.8,6538072.6
010006146,010006153,870626.8,6570718.5
010785921,010006179,880905.6,6542834.9
010006161,010006187,870630,6575123.5
010006195,010006203,905919.3,6530934.4
010006211,010006237,853550,6570683.3
010007987,010006245,901285.7,6546028.5
010783009,010006286,882733.6,6542669.9
010785897,010006294,873812.3,6569016.4
010785921,010006310,904138.3,6576589.8
010785897,010006328,884765.5,6568582.6
010006336,010006344,935952,6586482.9
010785897,010006369,908139.2,6520834.8
010783009,010006385,879457.6,6544487.9
010000339,010006401,882017.3,6543697.2
010006427,010006435,850060.8,6525782.8
010006484,010006492,937292.4,6576805.3
750719239,010006500,871929.4,6569874.5
010785897,010006518,872278,6569718.7
690796552,010006526,902284.5,6578385.1
010006534,010006542,849365.7,6586404.4
010001063,010006559,878015.8,6528857.4
010006583,010006591,929581.9,6575051.2
750719239,010006609,870942,6570957.9
010012532,010006641,847252,6546011.4
690791686,010006658,845821.3,6537379.5
010012532,010006674,908773.3,6521198.5
010012532,010006690,878298.8,6567156.4
750050916,010006708,870132.1,6536712.8
010012532,010006740,839669.5,6549467.5
010012532,010006773,850738.4,6559090.6
010012532,010006781,907657,6537413
690802715,010006799,835999.1,6544080.7
010012532,010006815,845470.4,6583724.9
010012532,010006831,863591.5,6584049.7
010008282,010006849,932675.6,6575444.3
010012532,010006864,854530.5,6564704
010012532,010006880,841428.4,6538733.2
010785897,010006898,856911.5,6547154.5
010012532,010006914,851132.8,6538983.4
010012532,010006930,869462.2,6569043.1
010012532,010006963,876508.6,6579048
010012532,010006997,881393,6543085.3
010012532,010007011,859551.1,6597702.5
010012532,010007045,846813,6554437.7
010012532,010007060,851473.2,6565980.7
010790368,010007078,844320.2,6580892.8
010012532,010007094,856990.2,6546682.6
010012532,010007110,884783.8,6568585.5
010012532,010007144,872213.3,6537944.2
010007185,010007193,870109.9,6567134.9
010785806,010007219,870966.1,6569355.8
010007201,010007227,907644.2,6537442
010007235,010007243,873535.6,6584932.2
010011005,010007268,855209.5,6528225.7
010007250,010007276,866056.6,6552855.9
010007292,010007300,937719.7,6576709.5
010010957,010007318,859667.4,6530197.5
010007375,010007383,871450.7,6569955
010783009,010007391,871440.9,6570702.3
010785897,010007417,897025.4,6572484.5
010000438,010007425,859488.5,6597404.3
690000484,010007441,903966.8,6508804.6
010785921,010007458,882344.8,6542921.9
750050916,010007466,870468.2,6535119.6
010007482,010007490,937127.6,6581094.3
010006336,010007508,935952,6586482.9
750713406,010007565,872162.4,6569165.2
690793534,010007573,873839.5,6540737
010784270,010007599,871756.1,6567453
010783009,010007748,881576,6542170.4
010785921,010007789,904138.3,6576589.8
010785921,010007839,932725.1,6575879.2
010783009,010007854,918401.3,6560324
010783009,010007862,871662.8,6570014.5
010783009,010007870,870898.8,6569911
010783009,010007896,939634.1,6577517.4
010783009,010007904,859651.4,6529821.1
010783009,010007920,882733.6,6542669.9
010785921,010007938,917818.7,6560610.7
010008407,010007961,901299.6,6564327
010785921,010007979,870748.2,6569350.3
010785921,010008019,873743.1,6568805.2
010008027,010008035,849626.2,6534729.7
010783009,010008050,939753.3,6578202.6
010785921,010008068,939762.7,6577813.7
010783009,010008092,845550.1,6584219.6
010785921,010008118,940373.5,6577175.7
010785897,010008142,861320.7,6599015.8
010785921,010008159,903632.9,6576781.3
010785897,010008175,904313.8,6575324.4
010000255,010008183,871621.3,6569432.8
010785921,010008209,853791.9,6570467.7
010783009,010008217,871426.8,6569932.3
010006336,010008258,935140.4,6586147.7
010008241,010008266,840307.3,6543180.3
010008282,010008290,936759.3,6578805.2
750808511,010008308,871712.2,6571287.2
010008324,010008332,876703.1,6579248.8
010009132,010008340,836002.5,6554657.5
750050916,010008357,872246.9,6569895.9
010008365,010008373,866467.7,6568594.1
010790368,010008399,844320.2,6580892.8
010003028,010008431,904151.7,6576178.4
690793567,010008449,859125.6,6529842.3
010785897,010008456,857202.3,6546614.5
010007987,010008571,902078.7,6546033
010010932,010008589,884574.3,6550614
690791108,010008605,910769.6,6538150.1
010008613,010008621,869713.6,6566737.3
010008647,010008654,869207.1,6569238.6
010008662,010008670,870727.6,6575360.8
010008688,010008696,917376.5,6570059.7
010008720,010008738,849398.8,6594247.3
010008746,010008753,860375.8,6554023.6
010008761,010008779,854904.2,6564253.4
010008787,010008795,872343.1,6538218.5
010008811,010008829,901248.2,6554004.2
940031339,010008837,883434.9,6547086.8
010783009,010008852,871511.3,6569687
010008282,010008860,935186,6586121.2
010785897,010008886,903774.9,6576544.7
010008282,010008894,936759.3,6578805.2
010003028,010008902,881894.1,6542420.4
010785897,010008910,857075.3,6546648.9
010787109,010008928,901639.9,6545888
740013578,010008944,933701.4,6575703.7
010783009,010008951,875455.5,6529301.5
730011137,010008969,909540.3,6521285.1
690035159,010008985,869996.1,6566943.3
010783009,010008993,871158.8,6569404.1
010790111,010009025,904115.1,6576520
710013368,010009041,848936,6594483.7
010012532,010009066,859602.1,6597678.5
010785921,010009074,903889.2,6575912.5
010009082,010009090,884143,6534208.2
010000594,010009108,871222,6569293.6
010009140,010009157,935195.7,6585839.4
690035241,010009165,837761.2,6539398
380016626,010009173,939753.3,6578202.6
380016626,010009181,936306,6586687.7
