finess;annee;mois;finessGeo;num_UM;type_UM;mode_hospit;date_deb;nblit
010780054;2024;12;010000024;0011;42;P;01/01/2000;0
010780054;2024;12;010000024;0045;53;P;01/01/2021;0
010780054;2024;12;010000024;0037;29;P;01/02/2021;0
010780054;2024;12;010000024;0051;53;P;01/01/2021;0
010780054;2024;12;010000024;0013;70;C;01/03/2019;2
010780054;2024;12;010000024;0062;29;P;01/01/2007;10
010780054;2024;12;010000024;0025;29;P;01/01/2004;0
010780054;2024;12;010000024;0047;26;C;01/01/2012;2
010780054;2024;12;010000024;0039;29;P;01/02/2021;0
010780054;2024;12;010000024;0004;29;P;01/01/2021;0
010780054;2024;12;010000024;0027;29;P;01/02/2021;0
010780054;2024;12;010000024;0056;29;P;01/01/2005;0
010780054;2024;12;010000024;0026;29;C;01/01/2012;12
010780054;2024;12;010000024;0006;27;P;01/01/2021;0
010780054;2024;12;010000024;0023;07A;C;09/12/2015;2
010780054;2024;12;010000024;0003;53;C;01/01/2021;0
010780054;2024;12;010000024;0035;71;C;01/01/2012;3
010780054;2024;12;010000024;0001;29;P;01/02/2021;0
010780054;2024;12;010000024;0022;53;P;18/03/2009;20
010780054;2024;12;010000024;0041;29;P;01/10/2024;0
010780062;2024;12;010000032;0005;29;C;01/01/2021;56
010780062;2024;12;010000032;0002;03A;C;01/01/2021;4
010780062;2024;12;010000032;0010;53;C;01/01/2021;19
010780062;2024;12;010000032;0004;73;C;01/01/2021;8
010780062;2024;12;010000032;0011;07A;C;01/01/2021;4
010780062;2024;12;010000032;0003;28;C;01/01/2021;6
010780062;2024;12;010000032;0006;70;C;01/01/2021;2
010780062;2024;12;010000032;0001;53;P;01/01/2021;8
010780062;2024;12;010000032;0009;29;P;01/01/2021;8
010780062;2024;12;010000032;0008;73;P;01/01/2021;1
010780062;2024;12;010000032;0007;28;P;01/01/2021;1
010780096;2024;12;010000065;0003;08;C;01/11/2001;10
010780096;2024;12;010000065;0002;29;C;01/01/2020;0
010780096;2024;12;010000065;0004;29;C;01/01/2020;0
010780096;2024;12;010000065;0005;29;C;01/01/2014;0
010780096;2024;12;010000065;0001;29;C;01/01/2023;0
010780120;2024;12;010000099;0001;27;C;01/01/1900;9
010780138;2024;12;010000107;0001;27;C;01/01/2010;15
010780195;2024;12;010780195;0006;53;P;01/01/2005;31
010780195;2024;12;010780195;0020;29;C;01/01/2005;0
010780195;2024;12;010780195;0003;01A;C;01/01/2005;5
010780195;2024;12;010780195;0014;53;C;01/01/2005;0
010780195;2024;12;010780195;0007;50;C;01/01/2005;0
010780195;2024;12;010780195;0009;02A;C;01/01/2005;6
010780195;2024;12;010780195;0023;53;C;01/01/2005;0
010780195;2024;12;010780195;0008;43;P;01/01/2005;0
010780195;2024;12;010780195;0001;53;P;01/01/2005;0
010780195;2024;12;010780195;0004;29;P;01/01/2005;0
010780195;2024;12;010780195;0021;07A;C;01/01/2005;4
010780195;2024;12;010780195;0011;03A;C;01/01/2005;6
010780195;2024;12;010780195;0005;29;C;01/01/2005;0
010780195;2024;12;010780195;0010;29;P;01/01/2005;0
010780195;2024;12;010780195;0018;29;C;01/01/2005;0
010780195;2024;12;010780195;0002;01A;C;01/01/2005;0
010780195;2024;12;010780195;0019;29;C;01/01/2005;0
010780195;2024;12;010780195;0017;01A;C;01/01/2005;0
010780195;2024;12;010780195;0015;53;C;01/01/2005;0
010780195;2024;12;010780195;0012;43;P;01/01/2005;0
010780195;2024;12;010780195;0013;53;P;01/01/2005;0
010780195;2024;12;010780195;0022;07A;C;01/01/2005;0
010780195;2024;12;010780195;0016;53;C;01/01/2005;0
010780203;2024;12;010780203;0017;29;C;01/01/2009;10
010780203;2024;12;010780203;0025;07A;C;01/01/2009;4
010780203;2024;12;010780203;0023;03A;C;01/01/2009;6
010780203;2024;12;010780203;0022;53;C;01/01/2009;30
010780203;2024;12;010780203;0005;29;C;01/01/2009;4
010780203;2024;12;010780203;0004;29;C;01/01/2009;4
010780203;2024;12;010780203;0003;53;P;01/01/2009;5
010780203;2024;12;010780203;0020;70;C;01/01/2009;15
010780203;2024;12;010780203;0009;53;M;01/01/2009;4
010780203;2024;12;010780203;0014;29;M;01/01/2009;4
010780203;2024;12;010780203;0018;53;P;01/01/2009;10
010780203;2024;12;010780203;0006;53;C;01/01/2009;30
010780203;2024;12;010780203;0012;07A;C;01/01/2009;4
010780203;2024;12;010780203;0015;29;P;01/01/2009;2
010780203;2024;12;010780203;0024;53;C;01/01/2009;4
010780203;2024;12;010780203;0001;29;C;01/01/2009;4
010780203;2024;12;010780203;0016;53;P;01/01/2009;5
010780203;2024;12;010780203;0021;29;C;01/01/2009;4
010780203;2024;12;010780203;0010;29;C;01/01/2009;4
010780203;2024;12;010780203;0008;53;C;01/01/2009;10
010780203;2024;12;010780203;0002;29;P;01/01/2024;4
010780203;2024;12;010780203;0002;29;P;01/01/2009;2
010780203;2024;12;010780203;0011;53;C;01/01/2009;30
010780203;2024;12;010780203;0019;03A;C;01/01/2024;4
010780203;2024;12;010780203;0013;53;C;01/01/2009;30
010780294;2024;12;010780294;0003;21;P;15/03/2017;12
010780294;2024;12;010780294;0002;23;P;15/03/2017;6
010780294;2024;12;010780294;0001;34;P;15/03/2017;6
020000022;2024;12;020000089;0002;29;C;01/01/1900;0
020000022;2024;12;020000089;0001;29;C;01/01/1900;0
020000048;2024;12;020000097;0001;27;C;01/01/2005;15
020000048;2024;12;020000097;0003;27;C;01/01/2005;12
020000048;2024;12;020000097;0002;08;C;01/01/2008;8
020000055;2024;12;020000105;0001;27;C;01/09/2016;14
020000055;2024;12;020000105;0002;29;C;01/01/2012;1
020000063;2024;12;020000162;0004;53;C;01/01/2000;0
020000063;2024;12;020000162;0019;29;C;26/03/2012;0
020000063;2024;12;020000162;0054;01A;C;01/01/2005;10
020000063;2024;12;020000162;0054;01A;C;04/10/2024;12
020000063;2024;12;020000162;0013;03A;C;01/01/2009;6
020000063;2024;12;020000162;0013;02C;C;04/10/2024;6
020000063;2024;12;020000162;0036;07A;C;01/01/2005;10
020000063;2024;12;020000162;0071;29;C;01/01/2000;0
020000063;2024;12;020000162;0011;18;C;04/12/2007;6
020000063;2024;12;020000162;0011;02F;C;04/10/2024;6
020000063;2024;12;020000162;0047;17;C;17/11/2016;15
020000063;2024;12;020000162;0006;40;C;01/01/2000;0
020000063;2024;12;020000162;0014;02A;C;01/01/2005;12
020000063;2024;12;020000162;0014;02E;C;04/10/2024;12
020000063;2024;12;020000162;0035;29;C;01/01/2000;0
020000063;2024;12;020000162;0042;53;C;01/01/2017;0
020000063;2024;12;020000162;0022;05;C;12/01/2001;6
020000063;2024;12;020000162;0045;04;C;12/01/2001;9
020000063;2024;12;020000162;0023;53;C;01/01/2000;0
020000063;2024;12;020000162;0067;27;C;01/01/2000;0
020000063;2024;12;020000162;0062;29;C;01/01/2000;0
020000063;2024;12;020000162;0068;27;C;01/01/2000;0
020000063;2024;12;020000162;0063;29;M;01/01/2023;0
020000063;2024;12;020000162;0040;29;C;01/01/2000;0
020000063;2024;12;020000162;0009;29;C;01/01/2000;0
020000063;2024;12;020000162;0051;53;C;01/01/2000;0
020000063;2024;12;020000162;0049;53;C;01/01/2000;0
020000063;2024;12;020000162;0008;29;C;04/12/2007;0
020000063;2024;12;020000162;0044;71;C;01/01/2000;0
020000063;2024;12;020000162;0012;71;C;01/01/2022;18
020000063;2024;12;020000162;0001;53;C;01/01/2000;0
020000063;2024;12;020000162;0010;53;C;01/01/2000;0
020000063;2024;12;020000162;0041;53;C;01/01/2017;0
020000063;2024;12;020000162;0007;70;C;01/01/2000;0
020000063;2024;12;020000162;0026;28;C;01/01/2000;0
020000063;2024;12;020000162;0046;43;P;16/09/2013;0
020000063;2024;12;020000162;0030;43;P;16/09/2013;0
020000063;2024;12;020000162;0060;43;P;01/01/2008;0
020000063;2024;12;020000162;0027;43;P;16/09/2013;0
020000063;2024;12;020000162;0048;29;P;04/12/2007;0
020000063;2024;12;020000162;0003;40;P;01/01/2000;0
020000063;2024;12;020000162;0079;29;M;01/01/2012;0
020000063;2024;12;020000162;0002;29;P;01/01/2000;0
020000063;2024;12;020000162;0032;29;P;01/01/2012;0
020000063;2024;12;020000162;0029;61;P;15/09/2014;0
020000063;2024;12;020000162;0075;29;C;01/10/2017;0
020000063;2024;12;020000162;0028;29;P;01/01/2000;0
020000063;2024;12;020000162;0059;28;P;01/01/2000;0
020000063;2024;12;020000162;0053;29;P;01/01/2009;0
020000063;2024;12;020000162;0076;73;M;01/01/2009;0
020000063;2024;12;020000162;0078;70;P;01/01/2000;10
020000063;2024;12;020000162;0038;53;C;01/01/2000;0
020000063;2024;12;020000162;0017;29;P;01/01/2013;0
020000063;2024;12;020000162;0052;27;P;01/01/2013;0
020000063;2024;12;020000162;0034;21;P;01/01/2012;30
020000063;2024;12;020000162;0050;53;P;01/01/2017;0
020000063;2024;12;020000162;0031;70;P;01/01/2017;0
020000063;2024;12;020000162;0057;53;P;01/01/2017;0
020000063;2024;12;020000162;0037;53;P;01/01/2017;0
020000063;2024;12;020000162;0024;73;P;01/01/2021;0
020000063;2024;12;020000162;0058;53;P;01/01/2000;0
020000063;2024;12;020000162;0020;53;P;01/01/2017;0
020000063;2024;12;020000162;0018;53;P;01/01/2000;0
020000063;2024;12;020000162;0055;53;P;01/01/2000;0
020000063;2024;12;020000162;0080;53;C;01/01/2017;0
020000063;2024;12;020000162;0039;53;C;01/01/2017;0
020000063;2024;12;020000162;0015;29;P;01/02/2019;0
020000063;2024;12;020000162;0016;53;P;01/01/2017;0
020000063;2024;12;020000162;0073;73;M;01/02/2015;0
020000063;2024;12;020000162;0005;53;C;01/01/2017;0
020000063;2024;12;020000162;0021;53;C;01/01/2017;0
020000063;2024;12;020000162;0072;53;P;01/01/2017;0
020000063;2024;12;020000162;0043;28;P;01/01/2000;0
020000063;2024;12;020000162;0025;21;P;01/02/2024;0
020000063;2024;12;020000162;0061;29;C;01/01/2013;0
020000063;2024;12;020000162;0064;53;C;01/01/2017;0
020000063;2024;12;020000162;0066;73;M;01/01/2018;0
020000063;2024;12;020000162;0065;02H;C;04/10/2024;8
020000063;2024;12;020000162;0033;29;M;01/01/2000;0
020000063;2024;12;020000162;0074;42;P;01/01/2012;0
020000071;2024;12;020000246;0001;29;C;01/01/1980;36
020000253;2024;12;020000394;0002;53;C;01/01/2005;0
020000253;2024;12;020000394;0011;53;C;01/01/2005;0
020000253;2024;12;020000394;0059;61;P;23/06/2000;0
020000253;2024;12;020000394;0034;61;C;01/01/2008;0
020000253;2024;12;020000394;0030;53;P;23/06/2000;0
020000253;2024;12;020000394;0035;53;P;01/01/2005;0
020000253;2024;12;020000394;0046;53;P;23/06/2000;0
020000253;2024;12;020000394;0008;53;C;01/01/2005;0
020000253;2024;12;020000394;0024;53;P;01/01/2005;0
020000253;2024;12;020000394;0047;53;C;01/01/2005;0
020000253;2024;12;020000394;0025;53;P;23/01/2000;0
020000253;2024;12;020000394;0054;53;P;01/01/2021;1
020000253;2024;12;020000394;0004;29;C;01/01/2005;0
020000253;2024;12;020000394;0053;29;P;27/04/1995;0
020000253;2024;12;020000394;0032;29;P;01/01/2021;1
020000253;2024;12;020000394;0040;02E;C;04/10/2024;6
020000253;2024;12;020000394;0040;02A;C;01/01/2005;6
020000253;2024;12;020000394;0022;27;C;01/01/2005;25
020000253;2024;12;020000394;0007;07A;C;01/01/2005;4
020000253;2024;12;020000394;0033;29;C;01/01/2005;0
020000253;2024;12;020000394;0048;29;C;01/01/2005;0
020000253;2024;12;020000394;0031;40;P;01/01/2013;0
020000253;2024;12;020000394;0058;29;P;01/01/2013;0
020000253;2024;12;020000394;0056;29;P;01/01/2021;1
020000253;2024;12;020000394;0013;29;P;01/01/2021;1
020000253;2024;12;020000394;0010;29;P;01/01/2021;1
020000253;2024;12;020000394;0039;27;P;01/09/2020;1
020000253;2024;12;020000394;0060;29;P;01/01/2007;0
020000253;2024;12;020000394;0023;29;C;01/01/2005;0
020000253;2024;12;020000394;0044;29;C;01/01/2005;0
020000253;2024;12;020000394;0014;29;P;01/01/2013;0
020000253;2024;12;020000394;0019;28;C;01/01/2005;0
020000253;2024;12;020000394;0021;07B;C;01/01/2005;0
020000253;2024;12;020000394;0012;29;P;24/04/1995;0
020000253;2024;12;020000394;0017;04;C;20/01/2001;6
020000253;2024;12;020000394;0038;73;C;01/01/2005;0
020000253;2024;12;020000394;0045;73;P;01/01/2005;0
020000253;2024;12;020000394;0027;07A;C;01/03/2020;0
020000253;2024;12;020000394;0029;29;C;01/01/2011;0
020000253;2024;12;020000394;0028;71;C;01/01/2005;0
020000253;2024;12;020000394;0061;71;C;01/01/2005;0
020000253;2024;12;020000394;0016;73;P;01/01/2005;0
020000253;2024;12;020000394;0009;53;P;01/10/2016;0
020000253;2024;12;020000394;0003;53;C;01/01/2005;0
020000253;2024;12;020000394;0015;21;P;01/01/2011;10
020000253;2024;12;020000394;0051;53;C;01/01/2012;0
020000253;2024;12;020000394;0001;29;C;01/01/2023;0
020000253;2024;12;020000394;0041;70;C;01/01/2005;0
020000253;2024;12;020000394;0005;02C;C;04/10/2024;3
020000253;2024;12;020000394;0005;03A;C;01/01/2023;4
020000253;2024;12;020000394;0037;29;P;01/01/2021;1
020000253;2024;12;020000394;0036;28;P;01/01/2001;1
020000253;2024;12;020000394;0055;01A;C;01/01/2005;8
020000253;2024;12;020000394;0006;03A;C;30/09/2013;4
020000253;2024;12;020000394;0006;02C;C;04/10/2024;3
020000253;2024;12;020000394;0020;53;C;01/01/2005;0
020000253;2024;12;020000394;0050;29;P;23/06/2003;0
020000253;2024;12;020000394;0050;29;P;01/01/2015;0
020000253;2024;12;020000394;0026;29;P;01/01/2024;1
020000253;2024;12;020000394;0018;40;C;01/01/2013;0
020000253;2024;12;020000394;0049;29;P;01/01/2021;1
020000261;2024;12;020000519;0041;08;C;01/01/1980;12
020000261;2024;12;020000519;0060;17;C;01/01/2021;15
020000261;2024;12;020000519;0043;29;C;01/01/2021;9
020000261;2024;12;020000519;0035;29;C;15/12/2020;15
020000261;2024;12;020000519;0025;29;C;01/01/2021;15
020000261;2024;12;020000519;0024;53;C;15/12/2020;0
020000261;2024;12;020000519;0045;40;C;01/01/2021;8
020000261;2024;12;020000519;0049;29;C;01/01/2021;15
020000261;2024;12;020000519;0034;01A;C;01/01/2021;8
020000261;2024;12;020000519;0013;02C;C;04/10/2024;8
020000261;2024;12;020000519;0013;03A;C;01/01/2021;4
020000261;2024;12;020000519;0040;07A;C;01/01/2021;4
020000261;2024;12;020000519;0002;29;C;15/12/2020;15
020000261;2024;12;020000519;0019;29;C;01/01/2021;7
020000261;2024;12;020000519;0051;29;C;15/12/2020;27
020000261;2024;12;020000519;0052;02E;C;04/10/2024;6
020000261;2024;12;020000519;0052;02A;C;01/01/2021;6
020000261;2024;12;020000519;0007;53;C;01/01/2021;0
020000261;2024;12;020000519;0028;02F;C;04/10/2024;4
020000261;2024;12;020000519;0028;18;C;01/01/2021;6
020000261;2024;12;020000519;0015;27;C;01/01/2024;15
020000261;2024;12;020000519;0021;29;C;01/01/2021;9
020000261;2024;12;020000519;0006;53;C;15/12/2020;15
020000261;2024;12;020000519;0003;40;P;01/01/2021;0
020000261;2024;12;020000519;0022;71;C;01/01/2021;18
020000261;2024;12;020000519;0061;04;C;01/01/2021;8
020000261;2024;12;020000519;0014;71;C;01/01/2021;0
020000261;2024;12;020000519;0017;28;C;01/01/2021;15
020000261;2024;12;020000519;0064;05;C;01/01/2021;4
020000261;2024;12;020000519;0059;73;C;01/01/2021;7
020000261;2024;12;020000519;0057;21;P;01/01/2021;15
020000261;2024;12;020000519;0012;53;P;01/01/2021;0
020000261;2024;12;020000519;0036;53;P;01/01/2021;0
020000261;2024;12;020000519;0020;29;P;01/01/2021;8
020000261;2024;12;020000519;0038;73;P;01/01/2021;0
020000261;2024;12;020000519;0063;73;P;01/01/2021;0
020000261;2024;12;020000519;0004;53;P;01/01/2021;14
020000261;2024;12;020000519;0001;43;P;01/01/2021;16
020000261;2024;12;020000519;0048;73;C;01/01/2021;4
020000261;2024;12;020000519;0009;29;C;01/01/2021;2
020000261;2024;12;020000519;0044;53;P;01/01/2021;0
020000261;2024;12;020000519;0050;29;P;01/01/2021;0
020000261;2024;12;020000519;0053;53;P;01/01/2021;0
020000261;2024;12;020000519;0046;73;P;01/01/2021;0
020000261;2024;12;020000519;0016;29;P;01/01/2021;0
020000261;2024;12;020000519;0005;29;P;01/01/2021;0
020000261;2024;12;020000519;0037;29;P;01/01/2021;0
020000261;2024;12;020000519;0026;53;C;01/01/2021;0
020000261;2024;12;020000519;0008;29;P;01/01/2021;0
020000261;2024;12;020000519;0055;61;P;01/01/2021;0
020000261;2024;12;020000519;0029;28;P;01/01/2021;2
020000261;2024;12;020000519;0047;29;P;01/01/2021;0
020000261;2024;12;020000519;0023;29;P;01/01/2021;0
020000261;2024;12;020000519;0030;53;C;01/01/2021;0
020000261;2024;12;020000519;0032;53;C;01/01/2021;0
020000261;2024;12;020000519;0010;53;P;01/01/2021;0
020000261;2024;12;020000519;0018;53;P;01/01/2021;0
020000261;2024;12;020000519;0027;53;C;01/01/2021;0
020000261;2024;12;020000519;0054;53;P;01/01/2021;0
020000261;2024;12;020000519;0033;73;P;01/01/2021;0
020000261;2024;12;020000519;0011;53;P;01/01/2024;0
020000261;2024;12;020000519;0062;73;C;01/01/2021;0
020000261;2024;12;020000519;0031;53;C;01/01/2024;0
020000261;2024;12;020000519;0039;53;P;01/01/2021;0
020000287;2024;12;020000535;0012;07A;C;30/03/2007;3
020000287;2024;12;020000535;0008;29;C;01/01/2009;27
020000287;2024;12;020000535;0023;29;C;01/01/2009;27
020000287;2024;12;020000535;0004;02A;C;01/07/2008;6
020000287;2024;12;020000535;0022;29;C;01/01/2009;18
020000287;2024;12;020000535;0015;29;C;01/01/2009;33
020000287;2024;12;020000535;0019;02B;C;08/01/2024;5
020000287;2024;12;020000535;0009;71;C;01/01/2009;16
020000287;2024;12;020000535;0025;29;C;27/03/2023;2
020000287;2024;12;020000535;0020;29;P;01/07/2008;1
020000287;2024;12;020000535;0016;43;P;01/02/2011;3
020000287;2024;12;020000535;0021;53;P;01/01/2023;1
020000287;2024;12;020000535;0014;53;C;01/01/2009;7
020000287;2024;12;020000535;0007;53;C;01/01/2009;7
020000287;2024;12;020000535;0005;70;C;01/01/2009;1
