"","fi","an","fi_ej","rs","grp","stjr","cat","dep","reg","espic","COMINSEE","DISCI","DISCIPLINE","LIT","SEJHC","JOU","PLA","SEJHP","PAS","SEJACC","IVG","SEHEM","SERAD","SECHI"
"1","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",21100,"Médecine",239,11485,81994,22,4404,48373,NA,NA,10936,20587,11383
"2","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",21200,"Chirurgie",68,3819,19507,20,3871,NA,NA,NA,NA,NA,NA
"3","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",21300,"Gynéco-Obstétrique",36,3507,10297,4,669,NA,1774,498,NA,NA,NA
"4","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",23000,"Hospitalisation à domicile",NA,NA,11113,45,571,NA,NA,NA,NA,NA,NA
"5","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",24000,"Soins de suite et réadaptation",42,487,17264,17,3486,NA,NA,NA,NA,NA,NA
"6","010000024",2024,"010780054","CH DE FLEYRIAT","04",1,355,"01","84",1,"01451",25000,"Soins de longue durée",60,71,20861,NA,NA,NA,NA,NA,NA,NA,NA
"7","010000032",2024,"010780062","CH BUGEY SUD","04",1,355,"01","84",1,"01034",21100,"Médecine",56,2938,17658,8,150,12187,NA,NA,NA,NA,851
"8","010000032",2024,"010780062","CH BUGEY SUD","04",1,355,"01","84",1,"01034",21200,"Chirurgie",19,953,3895,8,1748,NA,NA,NA,NA,NA,NA
"9","010000032",2024,"010780062","CH BUGEY SUD","04",1,355,"01","84",1,"01034",21300,"Gynéco-Obstétrique",8,389,1371,1,78,NA,309,77,NA,NA,NA
"10","010000032",2024,"010780062","CH BUGEY SUD","04",1,355,"01","84",1,"01034",24000,"Soins de suite et réadaptation",40,401,14136,8,2356,NA,NA,NA,NA,NA,NA
"11","010000065",2024,"010780096","CH DE TREVOUX - MONTPENSIER","04",1,355,"01","84",1,"01427",21100,"Médecine",59,2201,20149,NA,0,NA,NA,NA,NA,NA,NA
"12","010000065",2024,"010780096","CH DE TREVOUX - MONTPENSIER","04",1,355,"01","84",1,"01427",21300,"Gynéco-Obstétrique",NA,0,0,NA,0,NA,0,64,NA,NA,NA
"13","010000065",2024,"010780096","CH DE TREVOUX - MONTPENSIER","04",1,355,"01","84",1,"01427",24000,"Soins de suite et réadaptation",73,740,24308,NA,0,NA,NA,NA,NA,NA,NA
"14","010000081",2024,"010780112","CH DU PAYS DE GEX","04",1,106,"01","84",1,"01173",24000,"Soins de suite et réadaptation",20,157,6814,NA,0,NA,NA,NA,NA,NA,NA
"15","010000081",2024,"010780112","CH DU PAYS DE GEX","04",1,106,"01","84",1,"01173",25000,"Soins de longue durée",30,23,9185,NA,NA,NA,NA,NA,NA,NA,NA
"16","010000099",2024,"010780120","CH DE MEXIMIEUX","04",1,106,"01","84",1,"01244",21100,"Médecine",10,168,2261,0,0,NA,NA,NA,NA,NA,NA
"17","010000099",2024,"010780120","CH DE MEXIMIEUX","04",1,106,"01","84",1,"01244",24000,"Soins de suite et réadaptation",20,322,7658,NA,0,NA,NA,NA,NA,NA,NA
"18","010000107",2024,"010780138","CH DE PONT DE VAUX","04",1,106,"01","84",1,"01305",21100,"Médecine",3,70,857,0,0,NA,NA,NA,NA,NA,NA
"19","010000107",2024,"010780138","CH DE PONT DE VAUX","04",1,106,"01","84",1,"01305",24000,"Soins de suite et réadaptation",20,168,6383,NA,0,NA,NA,NA,NA,NA,NA
"20","010000115",2024,"010009132","CHI AIN VAL DE SAONE - PONT VEYLE","04",1,355,"01","84",1,"01306",21100,"Médecine",12,113,2777,NA,0,NA,NA,NA,NA,NA,NA
"21","010000115",2024,"010009132","CHI AIN VAL DE SAONE - PONT VEYLE","04",1,355,"01","84",1,"01306",24000,"Soins de suite et réadaptation",18,190,6332,NA,0,NA,NA,NA,NA,NA,NA
"22","010000115",2024,"010009132","CHI AIN VAL DE SAONE - PONT VEYLE","04",1,355,"01","84",1,"01306",25000,"Soins de longue durée",30,20,10155,NA,NA,NA,NA,NA,NA,NA,NA
"23","010000131",2024,"010009132","CHI AIN VAL DE SAONE - THOISSEY","04",1,355,"01","84",1,"01420",21100,"Médecine",8,131,2617,0,0,NA,NA,NA,NA,NA,NA
"24","010000131",2024,"010009132","CHI AIN VAL DE SAONE - THOISSEY","04",1,355,"01","84",1,"01420",24000,"Soins de suite et réadaptation",29,338,8645,NA,0,NA,NA,NA,NA,NA,NA
"25","010000180",2024,"010007987","CH PUBLIC HAUTEVILLE - UNITE ESPERANCE","04",1,355,"01","84",1,"01185",21100,"Médecine",8,236,2038,NA,0,NA,NA,NA,NA,NA,NA
"26","010000180",2024,"010007987","CH PUBLIC HAUTEVILLE - UNITE ESPERANCE","04",1,355,"01","84",1,"01185",24000,"Soins de suite et réadaptation",36,381,7327,NA,0,NA,NA,NA,NA,NA,NA
"27","010000198",2024,"010007987","CH PUBLIC HAUTEVILLE - UNITE INTERDEPT","04",1,355,"01","84",1,"01185",24000,"Soins de suite et réadaptation",67,969,17034,NA,0,NA,NA,NA,NA,NA,NA
"28","010000214",2024,"010007987","CH PUBLIC HAUTEVILLE - UNITE ALBARINE","04",1,355,"01","84",1,"01185",21100,"Médecine",16,336,4122,NA,0,NA,NA,NA,NA,NA,NA
"29","010000214",2024,"010007987","CH PUBLIC HAUTEVILLE - UNITE ALBARINE","04",1,355,"01","84",1,"01185",24000,"Soins de suite et réadaptation",91,936,33665,NA,0,NA,NA,NA,NA,NA,NA
"30","010000495",2024,"010783009","CENTRE PSYCHOTHERAPIQUE DE L'AIN","15",3,292,"01","84",6,"01053",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",256,2980,85597,101,11365,NA,NA,NA,NA,NA,NA
"31","010002129",2024,"310025010","CLINIQUE LES ARBELLES","09",2,109,"01","84",0,"01053",24000,"Soins de suite et réadaptation",100,872,34840,15,5213,NA,NA,NA,NA,NA,NA
"32","010005239",2024,"010008407","CH DU HAUT BUGEY - GEOVREISSET","04",1,355,"01","84",1,"01283",21100,"Médecine",31,4092,19637,7,1321,21958,NA,NA,NA,NA,248
"33","010005239",2024,"010008407","CH DU HAUT BUGEY - GEOVREISSET","04",1,355,"01","84",1,"01283",21200,"Chirurgie",20,1103,4244,8,1468,NA,NA,NA,NA,NA,NA
"34","010005239",2024,"010008407","CH DU HAUT BUGEY - GEOVREISSET","04",1,355,"01","84",1,"01283",21300,"Gynéco-Obstétrique",17,736,2189,1,147,NA,470,90,NA,NA,NA
"35","010005239",2024,"010008407","CH DU HAUT BUGEY - GEOVREISSET","04",1,355,"01","84",1,"01283",24000,"Soins de suite et réadaptation",26,295,8091,NA,0,NA,NA,NA,NA,NA,NA
"36","010005379",2024,"010010718","HAD DE L'HOPITAL PRIVE D'AMBERIEU","09",2,127,"01","84",0,"01004",23000,"Hospitalisation à domicile",NA,NA,21743,70,711,NA,NA,NA,NA,NA,NA
"37","010006526",2024,"690796552","AURAL UNITE DIALYSE CH HAUT BUGEY","07",3,146,"01","84",6,"01283",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,3774,NA,NA
"38","010007300",2024,"010007292","CLINIQUE AMBULATOIRE CENDANEG","09",2,128,"01","84",0,"01313",21200,"Chirurgie",NA,0,0,2,2022,NA,NA,NA,NA,NA,NA
"39","010008852",2024,"010783009","CRF L'ORCET SITE DU CH DE FLEYRIAT","09",3,109,"01","84",6,"01053",24000,"Soins de suite et réadaptation",56,337,17630,25,4307,NA,NA,NA,NA,NA,NA
"40","010009702",2024,"010780054","USLD EMILE PELICAND","04",1,362,"01","84",1,"01053",25000,"Soins de longue durée",11,10,3829,NA,NA,NA,NA,NA,NA,NA,NA
"41","010010171",2024,"920039690","CLINIQUE DE CHATILLON","15",2,161,"01","84",0,"01033",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",100,935,32776,20,6064,NA,NA,NA,NA,NA,NA
"42","010011385",2024,"210012290","UNITE DE DIALYSE AMBERIEU EN BUGEY","07",3,146,"01","84",6,"01004",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,936,NA,NA
"43","010011641",2024,"010000222","CLINIQUE DU SOUFFLE LE PONTET","09",2,109,"01","84",0,"01185",24000,"Soins de suite et réadaptation",91,793,29826,5,679,NA,NA,NA,NA,NA,NA
"44","010780195",2024,"010000156","CLINIQUE CONVERT","09",2,365,"01","84",0,"01053",21100,"Médecine",26,4295,13036,0,NA,25647,NA,NA,NA,NA,3108
"45","010780195",2024,"010000156","CLINIQUE CONVERT","09",2,365,"01","84",0,"01053",21200,"Chirurgie",65,3602,10482,32,12343,NA,NA,NA,NA,NA,NA
"46","010780203",2024,"010010718","HOPITAL PRIVE D'AMBERIEU","09",2,365,"01","84",0,"01004",21100,"Médecine",26,5510,15096,8,126,38635,NA,NA,NA,NA,38
"47","010780203",2024,"010010718","HOPITAL PRIVE D'AMBERIEU","09",2,365,"01","84",0,"01004",21200,"Chirurgie",30,2385,6039,48,6527,NA,NA,NA,NA,NA,NA
"48","010780203",2024,"010010718","HOPITAL PRIVE D'AMBERIEU","09",2,365,"01","84",0,"01004",21300,"Gynéco-Obstétrique",15,523,2052,0,0,NA,502,1,NA,NA,NA
"49","010780278",2024,"010783009","CENTRE DE REEDUCATION MANGINI","09",3,109,"01","84",6,"01185",24000,"Soins de suite et réadaptation",100,435,28309,NA,0,NA,NA,NA,NA,NA,NA
"50","010780294",2024,"690000278","NEPHROCARE CH BELLEY","07",2,141,"01","84",0,"01034",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,9594,NA,NA
"51","010780476",2024,"750005068","CENTRE SSR READAPT ADOLESCENTS CHANAY","09",3,109,"01","84",6,"01082",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",NA,NA,NA,3,893,NA,NA,NA,NA,NA,NA
"52","010780476",2024,"750005068","CENTRE SSR READAPT ADOLESCENTS CHANAY","09",3,109,"01","84",6,"01082",24000,"Soins de suite et réadaptation",70,586,14717,3,516,NA,NA,NA,NA,NA,NA
"53","010780492",2024,"360000707","CRF ROMANS-FERRARI","09",3,109,"01","84",6,"01249",24000,"Soins de suite et réadaptation",67,1287,9039,40,11763,NA,NA,NA,NA,NA,NA
"54","010780799",2024,"010783009","CTRE DE MPR CHATEAU D'ANGEVILLE","09",3,109,"01","84",6,"01185",24000,"Soins de suite et réadaptation",30,234,8671,NA,0,NA,NA,NA,NA,NA,NA
"55","010789006",2024,"210012290","UNITE DE DIALYSE BOURG EN BRESSE","07",3,146,"01","84",6,"01451",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,12791,NA,NA
"56","010789576",2024,"010780096","USLD","04",1,362,"01","84",1,"01322",25000,"Soins de longue durée",30,25,10385,NA,NA,NA,NA,NA,NA,NA,NA
"57","010789717",2024,"010008407","USLD CH D'OYONNAX","04",1,362,"01","84",1,"01283",25000,"Soins de longue durée",35,11,12489,NA,NA,NA,NA,NA,NA,NA,NA
"58","020000089",2024,"020000022","CH GUISE","04",1,355,"02","32",1,"02361",21100,"Médecine",28,1097,8819,0,0,NA,NA,NA,NA,NA,0
"59","020000089",2024,"020000022","CH GUISE","04",1,355,"02","32",1,"02361",23000,"Hospitalisation à domicile",NA,NA,9880,30,259,NA,NA,NA,NA,NA,NA
"60","020000089",2024,"020000022","CH GUISE","04",1,355,"02","32",1,"02361",24000,"Soins de suite et réadaptation",42,479,13265,0,0,NA,NA,NA,NA,NA,NA
"61","020000089",2024,"020000022","CH GUISE","04",1,355,"02","32",1,"02361",25000,"Soins de longue durée",30,16,8404,NA,NA,NA,NA,NA,NA,NA,NA
"62","020000097",2024,"020000048","CH LA FÈRE","04",1,355,"02","32",1,"02304",21100,"Médecine",38,640,9906,NA,0,NA,NA,NA,NA,NA,NA
"63","020000097",2024,"020000048","CH LA FÈRE","04",1,355,"02","32",1,"02304",24000,"Soins de suite et réadaptation",31,286,7072,NA,0,NA,NA,NA,NA,NA,NA
"64","020000105",2024,"020000055","CH LE NOUVION-EN-THIÉRACHE","04",1,355,"02","32",1,"02558",21100,"Médecine",15,398,4129,NA,0,NA,NA,NA,NA,NA,NA
"65","020000105",2024,"020000055","CH LE NOUVION-EN-THIÉRACHE","04",1,355,"02","32",1,"02558",24000,"Soins de suite et réadaptation",15,223,3448,NA,0,NA,NA,NA,NA,NA,NA
"66","020000162",2024,"020000063","CH SAINT-QUENTIN","04",1,355,"02","32",1,"02691",21100,"Médecine",277,19481,92946,53,4684,51922,NA,NA,50613,15655,10323
"67","020000162",2024,"020000063","CH SAINT-QUENTIN","04",1,355,"02","32",1,"02691",21200,"Chirurgie",78,4683,16901,32,6154,NA,NA,NA,NA,NA,NA
"68","020000162",2024,"020000063","CH SAINT-QUENTIN","04",1,355,"02","32",1,"02691",21300,"Gynéco-Obstétrique",28,2300,8257,1,1036,NA,1560,474,NA,NA,NA
"69","020000162",2024,"020000063","CH SAINT-QUENTIN","04",1,355,"02","32",1,"02691",24000,"Soins de suite et réadaptation",56,601,16101,0,0,NA,NA,NA,NA,NA,NA
"70","020000162",2024,"020000063","CH SAINT-QUENTIN","04",1,355,"02","32",1,"02691",25000,"Soins de longue durée",43,21,17980,NA,NA,NA,NA,NA,NA,NA,NA
"71","020000246",2024,"020000071","CH VERVINS","04",1,355,"02","32",1,"02789",21100,"Médecine",27,433,6480,NA,NA,NA,NA,NA,NA,NA,NA
"72","020000246",2024,"020000071","CH VERVINS","04",1,355,"02","32",1,"02789",24000,"Soins de suite et réadaptation",27,270,6448,NA,0,NA,NA,NA,NA,NA,NA
"73","020000303",2024,"750814030","HOPITAL VILLIERS SAINT DENIS","09",3,365,"02","32",6,"02818",24000,"Soins de suite et réadaptation",253,2192,82765,17,12214,NA,NA,NA,NA,NA,NA
"74","020000360",2024,"020014742","CLINIQUE COURLANCY SOISSONS","09",2,128,"02","32",0,"02722",21100,"Médecine",NA,0,0,NA,255,NA,NA,NA,NA,NA,NA
"75","020000360",2024,"020014742","CLINIQUE COURLANCY SOISSONS","09",2,128,"02","32",0,"02722",21200,"Chirurgie",30,963,2293,18,4521,NA,NA,NA,NA,NA,NA
"76","020000386",2024,"020000600","CLINIQUE DE LA ROSERAIE","15",2,161,"02","32",0,"02722",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",86,869,27695,22,2647,NA,NA,NA,NA,NA,NA
"77","020000394",2024,"020000253","CH LAON","04",1,355,"02","32",1,"02408",21100,"Médecine",128,9443,39158,14,2960,35254,NA,NA,6630,NA,1593
"78","020000394",2024,"020000253","CH LAON","04",1,355,"02","32",1,"02408",21200,"Chirurgie",34,2395,8845,11,1816,NA,NA,NA,NA,NA,NA
"79","020000394",2024,"020000253","CH LAON","04",1,355,"02","32",1,"02408",21300,"Gynéco-Obstétrique",18,1096,3836,0,274,NA,689,288,NA,NA,NA
"80","020000394",2024,"020000253","CH LAON","04",1,355,"02","32",1,"02408",24000,"Soins de suite et réadaptation",NA,0,0,16,3114,NA,NA,NA,NA,NA,NA
"81","020000519",2024,"020000261","CH SOISSONS","04",1,355,"02","32",1,"02722",21100,"Médecine",195,11744,66114,8,1032,48486,NA,NA,9888,0,4291
"82","020000519",2024,"020000261","CH SOISSONS","04",1,355,"02","32",1,"02722",21200,"Chirurgie",38,2028,10811,15,1846,NA,NA,NA,NA,NA,NA
"83","020000519",2024,"020000261","CH SOISSONS","04",1,355,"02","32",1,"02722",21300,"Gynéco-Obstétrique",21,1456,5233,1,611,NA,864,321,NA,NA,NA
"84","020000519",2024,"020000261","CH SOISSONS","04",1,355,"02","32",1,"02722",24000,"Soins de suite et réadaptation",60,718,19134,NA,0,NA,NA,NA,NA,NA,NA
"85","020000535",2024,"020000287","CH CHAUNY","04",1,355,"02","32",1,"02173",21100,"Médecine",119,5485,26856,3,430,19073,NA,NA,NA,NA,1382
"86","020000535",2024,"020000287","CH CHAUNY","04",1,355,"02","32",1,"02173",21200,"Chirurgie",3,284,1076,21,1092,NA,NA,NA,NA,NA,NA
"87","020000535",2024,"020000287","CH CHAUNY","04",1,355,"02","32",1,"02173",21300,"Gynéco-Obstétrique",18,862,1897,1,315,NA,411,273,NA,NA,NA
"88","020000535",2024,"020000287","CH CHAUNY","04",1,355,"02","32",1,"02173",24000,"Soins de suite et réadaptation",30,329,8524,NA,0,NA,NA,NA,NA,NA,NA
"89","020000535",2024,"020000287","CH CHAUNY","04",1,355,"02","32",1,"02173",25000,"Soins de longue durée",44,20,6511,NA,NA,NA,NA,NA,NA,NA,NA
"90","020000543",2024,"020000295","ETS PUB SANTÉ MENTALE DE L'AISNE","14",1,292,"02","32",1,"02619",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",255,2771,81141,158,14272,NA,NA,NA,NA,NA,NA
"91","020000915",2024,"020003620","SSR JACQUES FICHEUX SAINT-GOBAIN","04",1,355,"02","32",1,"02680",24000,"Soins de suite et réadaptation",184,2357,84131,16,12556,NA,NA,NA,NA,NA,NA
"92","020001061",2024,"020004404","CH CHÂTEAU-THIERRY","04",1,355,"02","32",1,"02168",21100,"Médecine",140,6410,44499,4,2526,33233,NA,NA,NA,NA,568
"93","020001061",2024,"020004404","CH CHÂTEAU-THIERRY","04",1,355,"02","32",1,"02168",21200,"Chirurgie",15,1320,3625,10,2384,NA,NA,NA,NA,NA,NA
"94","020001061",2024,"020004404","CH CHÂTEAU-THIERRY","04",1,355,"02","32",1,"02168",21300,"Gynéco-Obstétrique",14,736,3300,1,577,NA,530,278,NA,NA,NA
"95","020001087",2024,"020004495","CH HIRSON","04",1,355,"02","32",1,"02381",21100,"Médecine",60,3914,9590,4,324,14957,NA,NA,NA,NA,NA
"96","020001087",2024,"020004495","CH HIRSON","04",1,355,"02","32",1,"02381",24000,"Soins de suite et réadaptation",30,206,6420,NA,0,NA,NA,NA,NA,NA,NA
"97","020001772",2024,"590799995","UNITE DE DIALYSE DE CHAUNY","07",3,146,"02","32",6,"02173",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,6878,NA,NA
"98","020001913",2024,"590799995","UNITE DE DIALYSE DE LAON","07",3,146,"02","32",6,"02408",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,6838,NA,NA
"99","020003877",2024,"020000253","SSR CH LAON","04",1,355,"02","32",1,"02408",24000,"Soins de suite et réadaptation",40,451,10246,NA,0,NA,NA,NA,NA,NA,NA
"100","020004156",2024,"590805065","CLINIQUE TEMPS DE VIE SAINT-QUENTIN","15",3,161,"02","32",7,"02691",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",60,769,16622,20,4834,NA,NA,NA,NA,NA,NA
"101","020004297",2024,"020005179","HAD AMSAM SOISSONS","09",3,127,"02","32",7,"02722",23000,"Hospitalisation à domicile",NA,NA,9875,70,475,NA,NA,NA,NA,NA,NA
"102","020004677",2024,"020000261","USLD CH SOISSONS","04",1,362,"02","32",1,"02064",25000,"Soins de longue durée",50,48,10806,NA,NA,NA,NA,NA,NA,NA,NA
"103","020005476",2024,"020000253","USLD CH LAON","04",1,362,"02","32",1,"02408",25000,"Soins de longue durée",40,14,10547,NA,NA,NA,NA,NA,NA,NA,NA
"104","020006441",2024,"590799995","UNITE DIALYSE DE COURMELLES","07",3,146,"02","32",6,"02226",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,3877,NA,NA
"105","020006664",2024,"020000063","CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN","14",1,355,"02","32",1,"02691",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",0,0,0,36,9610,NA,NA,NA,NA,NA,NA
"106","020009684",2024,"020002085","USLD MSB BOHAIN-EN-VERMANDOIS","04",1,362,"02","32",1,"02095",25000,"Soins de longue durée",30,7,2960,NA,NA,NA,NA,NA,NA,NA,NA
"107","020010047",2024,"020001632","HOPITAL PRIVE SAINT CLAUDE","09",2,365,"02","32",0,"02691",21100,"Médecine",35,2571,9661,4,457,9968,NA,NA,NA,NA,2497
"108","020010047",2024,"020001632","HOPITAL PRIVE SAINT CLAUDE","09",2,365,"02","32",0,"02691",21200,"Chirurgie",68,2515,5753,40,9450,NA,NA,NA,NA,NA,NA
"109","020010047",2024,"020001632","HOPITAL PRIVE SAINT CLAUDE","09",2,365,"02","32",0,"02691",24000,"Soins de suite et réadaptation",NA,0,0,25,3393,NA,NA,NA,NA,NA,NA
"110","020010310",2024,"750719361","SSR AURORE BUCY-LE-LONG","09",3,109,"02","32",6,"02131",24000,"Soins de suite et réadaptation",14,126,4976,NA,0,NA,NA,NA,NA,NA,NA
"111","020010898",2024,"750721334","HAD CRF CHAUNY","09",3,127,"02","32",6,"02173",23000,"Hospitalisation à domicile",NA,NA,4969,25,141,NA,NA,NA,NA,NA,NA
"112","020012860",2024,"590799995","UNITE DE DIALYSE DE SAINT-QUENTIN","07",3,146,"02","32",6,"02691",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,15534,NA,NA
"113","020014767",2024,"590805065","HAD TEMPS DE VIE SAINT-QUENTIN","09",3,127,"02","32",7,"02691",23000,"Hospitalisation à domicile",NA,NA,18833,58,426,NA,NA,NA,NA,NA,NA
"114","020016242",2024,"590799995","UNITE DE DIALYSE DE GUISE","07",3,146,"02","32",6,"02361",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,4988,NA,NA
"115","020016341",2024,"750814030","SSR RENAISSANCE SOISSONS","09",3,109,"02","32",6,"02722",24000,"Soins de suite et réadaptation",NA,0,0,8,5290,NA,NA,NA,NA,NA,NA
"116","020017075",2024,"590799995","UNITE DE DIALYSE DE CHATEAU-THIERRY","07",3,146,"02","32",6,"02168",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,4463,NA,NA
"117","020017448",2024,"590799995","SANTELYS DIALYSE À DOM CH ST QUENTIN","09",3,698,"02","32",6,"02691",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,1237,NA,NA
"118","020017455",2024,"590799995","SANTELYS DIALYSE À DOMICILE CH LAON","09",3,698,"02","32",6,"02408",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,635,NA,NA
"119","020018453",2024,"590799995","SANTELYS DIALYSE À DOMICILE CH SOISSON","07",3,146,"02","32",6,"02226",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,284,NA,NA
"120","020018545",2024,"590799995","SANTELYS UNITÉ DE DIALYSE DE VERVINS","07",3,146,"02","32",6,"02789",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,1781,NA,NA
"121","030000012",2024,"030780100","CH DE NERIS LES BAINS","04",1,355,"03","84",1,"03195",24000,"Soins de suite et réadaptation",59,472,16561,15,4583,NA,NA,NA,NA,NA,NA
"122","030000061",2024,"030780092","CH DE MOULINS","04",1,355,"03","84",1,"03190",21100,"Médecine",200,11239,62743,21,1085,39924,NA,NA,6874,NA,2813
"123","030000061",2024,"030780092","CH DE MOULINS","04",1,355,"03","84",1,"03190",21200,"Chirurgie",57,2899,14340,15,2374,NA,NA,NA,NA,NA,NA
"124","030000061",2024,"030780092","CH DE MOULINS","04",1,355,"03","84",1,"03190",21300,"Gynéco-Obstétrique",25,1271,5009,2,292,NA,856,259,NA,NA,NA
"125","030000061",2024,"030780092","CH DE MOULINS","04",1,355,"03","84",1,"03190",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",110,942,35547,40,9837,NA,NA,NA,NA,NA,NA
"126","030000061",2024,"030780092","CH DE MOULINS","04",1,355,"03","84",1,"03190",23000,"Hospitalisation à domicile",NA,NA,5228,30,377,NA,NA,NA,NA,NA,NA
"127","030000061",2024,"030780092","CH DE MOULINS","04",1,355,"03","84",1,"03190",24000,"Soins de suite et réadaptation",40,429,13536,2,281,NA,NA,NA,NA,NA,NA
"128","030000061",2024,"030780092","CH DE MOULINS","04",1,355,"03","84",1,"03190",25000,"Soins de longue durée",80,41,28953,NA,NA,NA,NA,NA,NA,NA,NA
"129","030000079",2024,"030780100","CH DE MONTLUCON","04",1,355,"03","84",1,"03185",21100,"Médecine",236,11551,83538,5,2216,41066,NA,NA,9898,NA,3405
"130","030000079",2024,"030780100","CH DE MONTLUCON","04",1,355,"03","84",1,"03185",21200,"Chirurgie",33,1689,9721,4,734,NA,NA,NA,NA,NA,NA
"131","030000079",2024,"030780100","CH DE MONTLUCON","04",1,355,"03","84",1,"03185",21300,"Gynéco-Obstétrique",33,1627,5430,3,677,NA,916,285,NA,NA,NA
"132","030000079",2024,"030780100","CH DE MONTLUCON","04",1,355,"03","84",1,"03185",23000,"Hospitalisation à domicile",NA,NA,6193,30,198,NA,NA,NA,NA,NA,NA
"133","030000079",2024,"030780100","CH DE MONTLUCON","04",1,355,"03","84",1,"03185",24000,"Soins de suite et réadaptation",30,349,7438,NA,0,NA,NA,NA,NA,NA,NA
"134","030000079",2024,"030780100","CH DE MONTLUCON","04",1,355,"03","84",1,"03185",25000,"Soins de longue durée",60,46,17634,NA,NA,NA,NA,NA,NA,NA,NA
"135","030000087",2024,"030780118","CH JACQUES LACARIN VICHY","04",1,355,"03","84",1,"03310",21100,"Médecine",234,12736,72244,17,4251,33615,NA,NA,14854,NA,6674
"136","030000087",2024,"030780118","CH JACQUES LACARIN VICHY","04",1,355,"03","84",1,"03310",21200,"Chirurgie",67,3717,18179,24,6420,NA,NA,NA,NA,NA,NA
"137","030000087",2024,"030780118","CH JACQUES LACARIN VICHY","04",1,355,"03","84",1,"03310",21300,"Gynéco-Obstétrique",20,1652,4963,0,0,NA,921,94,NA,NA,NA
"138","030000087",2024,"030780118","CH JACQUES LACARIN VICHY","04",1,355,"03","84",1,"03310",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",85,898,21008,43,3807,NA,NA,NA,NA,NA,NA
"139","030000087",2024,"030780118","CH JACQUES LACARIN VICHY","04",1,355,"03","84",1,"03310",23000,"Hospitalisation à domicile",NA,NA,18587,50,635,NA,NA,NA,NA,NA,NA
"140","030000087",2024,"030780118","CH JACQUES LACARIN VICHY","04",1,355,"03","84",1,"03310",24000,"Soins de suite et réadaptation",52,502,18270,5,862,NA,NA,NA,NA,NA,NA
"141","030000087",2024,"030780118","CH JACQUES LACARIN VICHY","04",1,355,"03","84",1,"03310",25000,"Soins de longue durée",108,62,37783,NA,NA,NA,NA,NA,NA,NA,NA
"142","030000095",2024,"030780126","CH DE BOURBON L'ARCHAMBAULT","04",1,355,"03","84",1,"03036",21100,"Médecine",8,149,1963,NA,0,NA,NA,NA,NA,NA,NA
"143","030000095",2024,"030780126","CH DE BOURBON L'ARCHAMBAULT","04",1,355,"03","84",1,"03036",24000,"Soins de suite et réadaptation",40,444,13297,6,153,NA,NA,NA,NA,NA,NA
"144","030000160",2024,"030780282","CHS D'AINAY LE CHATEAU","04",1,292,"03","84",1,"03003",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",49,290,13619,0,0,NA,NA,NA,NA,NA,NA
"145","030000160",2024,"030780282","CHS D'AINAY LE CHATEAU","04",1,292,"03","84",1,"03003",25000,"Soins de longue durée",40,15,14446,NA,NA,NA,NA,NA,NA,NA,NA
"146","030001689",2024,"030005821","CENTRE DE RADIOTHERAPIE JOSEPH BELOT","18",2,698,"03","84",0,"03098",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,NA,13050,NA
