"","fi","an","fi_ej","rs","grp","stjr","cat","dep","reg","espic","COMINSEE","DISCI","DISCIPLINE","LIT","SEJHC","JOU","PLA","SEJHP","PAS","SEJACC","IVG","SEHEM","SERAD","SECHI"
"861","140026410",2024,"140026279","CH COTE FLEURIE - SITE DE CRICQUEBOEUF","04",1,355,"14","28",1,"14202",21300,"Gynéco-Obstétrique",NA,0,0,NA,0,NA,0,69,NA,NA,NA
"862","140026410",2024,"140026279","CH COTE FLEURIE - SITE DE CRICQUEBOEUF","04",1,355,"14","28",1,"14202",24000,"Soins de suite et réadaptation",56,676,12223,20,4623,NA,NA,NA,NA,NA,NA
"863","140026709",2024,"140000415","HOPITAL PRIVE DU PAYS D'AUGE","09",2,365,"14","28",0,"14202",21100,"Médecine",6,34,221,NA,0,NA,NA,NA,NA,NA,0
"864","140026709",2024,"140000415","HOPITAL PRIVE DU PAYS D'AUGE","09",2,365,"14","28",0,"14202",21200,"Chirurgie",26,2691,3917,7,4000,NA,NA,NA,NA,NA,NA
"865","140026709",2024,"140000415","HOPITAL PRIVE DU PAYS D'AUGE","09",2,365,"14","28",0,"14202",21300,"Gynéco-Obstétrique",NA,0,0,NA,0,NA,0,5,NA,NA,NA
"866","140026709",2024,"140000415","HOPITAL PRIVE DU PAYS D'AUGE","09",2,365,"14","28",0,"14202",23000,"Hospitalisation à domicile",NA,NA,9599,30,538,NA,NA,NA,NA,NA,NA
"867","140026709",2024,"140000415","HOPITAL PRIVE DU PAYS D'AUGE","09",2,365,"14","28",0,"14202",24000,"Soins de suite et réadaptation",28,221,7697,2,2588,NA,NA,NA,NA,NA,NA
"868","140027434",2024,"140000852","ANIDER - HONFLEUR","07",3,146,"14","28",6,"14333",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,4555,NA,NA
"869","140027681",2024,"610787764","CMPR LA CLAIRIERE HEROUVILLE ST CLAIR","09",3,109,"14","28",6,"14327",24000,"Soins de suite et réadaptation",NA,0,0,23,4832,NA,NA,NA,NA,NA,NA
"870","140027731",2024,"720020171","SAS ILC MAURICE TUBIANA","09",2,129,"14","28",0,"14118",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,NA,17485,NA
"871","140028895",2024,"140000852","ANIDER - BAYEUX","07",3,146,"14","28",6,"14047",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,3497,NA,NA
"872","140030891",2024,"140000639","UNITE RADIOTHERAPIE EXTERNE CFB","18",3,131,"14","28",6,"14327",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,NA,4303,NA
"873","150000024",2024,"150780047","CH DE CONDAT EN FENIERS","04",1,355,"15","84",1,"15054",21100,"Médecine",15,191,3081,0,0,NA,NA,NA,NA,NA,NA
"874","150000032",2024,"150780088","CH DE SAINT-FLOUR","04",1,355,"15","84",1,"15187",21100,"Médecine",71,1281,14821,5,416,11831,NA,NA,NA,NA,389
"875","150000032",2024,"150780088","CH DE SAINT-FLOUR","04",1,355,"15","84",1,"15187",21200,"Chirurgie",15,814,3680,4,234,NA,NA,NA,NA,NA,NA
"876","150000032",2024,"150780088","CH DE SAINT-FLOUR","04",1,355,"15","84",1,"15187",21300,"Gynéco-Obstétrique",15,441,1110,0,0,NA,213,57,NA,NA,NA
"877","150000032",2024,"150780088","CH DE SAINT-FLOUR","04",1,355,"15","84",1,"15187",25000,"Soins de longue durée",37,17,9968,NA,NA,NA,NA,NA,NA,NA,NA
"878","150000040",2024,"150780096","CH HENRI MONDOR","04",1,355,"15","84",1,"15014",21100,"Médecine",200,9180,54248,29,2580,28111,NA,NA,NA,NA,4521
"879","150000040",2024,"150780096","CH HENRI MONDOR","04",1,355,"15","84",1,"15014",21200,"Chirurgie",48,3008,12340,12,3497,NA,NA,NA,NA,NA,NA
"880","150000040",2024,"150780096","CH HENRI MONDOR","04",1,355,"15","84",1,"15014",21300,"Gynéco-Obstétrique",18,1265,4139,NA,0,NA,673,223,NA,NA,NA
"881","150000040",2024,"150780096","CH HENRI MONDOR","04",1,355,"15","84",1,"15014",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",91,1008,28342,54,5701,NA,NA,NA,NA,NA,NA
"882","150000040",2024,"150780096","CH HENRI MONDOR","04",1,355,"15","84",1,"15014",23000,"Hospitalisation à domicile",NA,NA,6084,15,957,NA,NA,NA,NA,NA,NA
"883","150000040",2024,"150780096","CH HENRI MONDOR","04",1,355,"15","84",1,"15014",24000,"Soins de suite et réadaptation",72,568,21627,10,1663,NA,NA,NA,NA,NA,NA
"884","150000040",2024,"150780096","CH HENRI MONDOR","04",1,355,"15","84",1,"15014",25000,"Soins de longue durée",44,38,16044,NA,NA,NA,NA,NA,NA,NA,NA
"885","150000149",2024,"150780393","CH PIERRE RAYNAL","04",1,355,"15","84",1,"15045",24000,"Soins de suite et réadaptation",51,348,11757,5,549,NA,NA,NA,NA,NA,NA
"886","150000164",2024,"150780468","CH DE MAURIAC","04",1,355,"15","84",1,"15120",21100,"Médecine",34,2024,11975,NA,0,8092,NA,NA,NA,NA,NA
"887","150000164",2024,"150780468","CH DE MAURIAC","04",1,355,"15","84",1,"15120",21300,"Gynéco-Obstétrique",NA,0,0,NA,0,NA,0,16,NA,NA,NA
"888","150000164",2024,"150780468","CH DE MAURIAC","04",1,355,"15","84",1,"15120",24000,"Soins de suite et réadaptation",18,282,6263,NA,0,NA,NA,NA,NA,NA,NA
"889","150000164",2024,"150780468","CH DE MAURIAC","04",1,355,"15","84",1,"15120",25000,"Soins de longue durée",27,25,9534,NA,NA,NA,NA,NA,NA,NA,NA
"890","150000180",2024,"150780500","CH DE MURAT","04",1,355,"15","84",1,"15138",21100,"Médecine",25,384,6155,NA,0,NA,NA,NA,NA,NA,NA
"891","150000180",2024,"150780500","CH DE MURAT","04",1,355,"15","84",1,"15138",24000,"Soins de suite et réadaptation",40,236,8347,NA,0,NA,NA,NA,NA,NA,NA
"892","150000180",2024,"150780500","CH DE MURAT","04",1,355,"15","84",1,"15138",25000,"Soins de longue durée",30,29,8911,NA,NA,NA,NA,NA,NA,NA,NA
"893","150001758",2024,"630000990","AURA SANTE SAINT FLOUR","07",3,146,"15","84",6,"15187",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,5504,NA,NA
"894","150002608",2024,"660006370","CLINIQUE DU SOUFFLE LES CLARINES","09",2,109,"15","84",0,"15162",24000,"Soins de suite et réadaptation",78,696,19940,11,632,NA,NA,NA,NA,NA,NA
"895","150003416",2024,"150000271","UNITE DE DIALYSE - CH DE MAURIAC","07",2,146,"15","84",0,"15120",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,2226,NA,NA
"896","150003713",2024,"630011831","SELARL U2R - SITE CMC DE TRONQUIERES","18",2,699,"15","84",0,"15014",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,NA,9499,NA
"897","150780120",2024,"330050899","CLINIQUE DU HAUT CANTAL","09",2,365,"15","84",0,"15162",21100,"Médecine",10,464,1001,0,0,NA,NA,NA,NA,NA,NA
"898","150780120",2024,"330050899","CLINIQUE DU HAUT CANTAL","09",2,365,"15","84",0,"15162",24000,"Soins de suite et réadaptation",50,294,10688,0,0,NA,NA,NA,NA,NA,NA
"899","150780708",2024,"870015336","SSR MAURICE DELORT - UGECAM","09",3,109,"15","84",6,"15258",24000,"Soins de suite et réadaptation",60,420,15258,5,0,NA,NA,NA,NA,NA,NA
"900","150780732",2024,"150000271","CENTRE MEDICO CHIRURGICAL TRONQUIERES","09",2,365,"15","84",0,"15014",21100,"Médecine",52,1815,14966,4,1021,NA,NA,NA,12783,NA,2145
"901","150780732",2024,"150000271","CENTRE MEDICO CHIRURGICAL TRONQUIERES","09",2,365,"15","84",0,"15014",21200,"Chirurgie",35,2615,6090,10,7594,NA,NA,NA,NA,NA,NA
"902","150780732",2024,"150000271","CENTRE MEDICO CHIRURGICAL TRONQUIERES","09",2,365,"15","84",0,"15014",24000,"Soins de suite et réadaptation",51,549,12804,10,5753,NA,NA,NA,NA,NA,NA
"903","150780773",2024,"150780088","SERVICE DE PSYCHIATRIE - CH ST FLOUR","14",1,355,"15","84",1,"15187",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",12,176,3205,20,2093,NA,NA,NA,NA,NA,NA
"904","150780823",2024,"150780096","CH ANNEXE CUEILHES","14",1,355,"15","84",1,"15014",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",10,375,1339,6,2043,NA,NA,NA,NA,NA,NA
"905","150782944",2024,"150002566","CENTRE DE READAPTATION DE MAURS","15",3,430,"15","84",6,"15122",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",30,66,6785,NA,NA,NA,NA,NA,NA,NA,NA
"906","160000170",2024,"160000204","CLINIQUE SAINT JOSEPH ANGOULEME","09",2,128,"16","75",0,"16015",21100,"Médecine",8,70,382,NA,0,NA,NA,NA,NA,NA,NA
"907","160000170",2024,"160000204","CLINIQUE SAINT JOSEPH ANGOULEME","09",2,128,"16","75",0,"16015",21200,"Chirurgie",39,1711,4901,32,7645,NA,NA,NA,NA,NA,NA
"908","160000188",2024,"160000121","CH DE LA ROCHEFOUCAULD","04",1,106,"16","75",1,"16281",21100,"Médecine",12,522,3999,3,380,NA,NA,NA,NA,NA,NA
"909","160000188",2024,"160000121","CH DE LA ROCHEFOUCAULD","04",1,106,"16","75",1,"16281",24000,"Soins de suite et réadaptation",49,509,16400,7,1907,NA,NA,NA,NA,NA,NA
"910","160000188",2024,"160000121","CH DE LA ROCHEFOUCAULD","04",1,106,"16","75",1,"16281",25000,"Soins de longue durée",53,57,16520,NA,NA,NA,NA,NA,NA,NA,NA
"911","160000253",2024,"160000451","CENTRE HOSPITALIER D'ANGOULEME","04",1,355,"16","75",1,"16015",21100,"Médecine",263,15375,72016,33,2945,56724,NA,NA,15473,NA,7090
"912","160000253",2024,"160000451","CENTRE HOSPITALIER D'ANGOULEME","04",1,355,"16","75",1,"16015",21200,"Chirurgie",70,4402,21046,19,4291,NA,NA,NA,NA,NA,NA
"913","160000253",2024,"160000451","CENTRE HOSPITALIER D'ANGOULEME","04",1,355,"16","75",1,"16015",21300,"Gynéco-Obstétrique",25,1681,6387,NA,0,NA,1275,461,NA,NA,NA
"914","160000253",2024,"160000451","CENTRE HOSPITALIER D'ANGOULEME","04",1,355,"16","75",1,"16015",24000,"Soins de suite et réadaptation",55,395,14500,17,6047,NA,NA,NA,NA,NA,NA
"915","160000253",2024,"160000451","CENTRE HOSPITALIER D'ANGOULEME","04",1,355,"16","75",1,"16015",25000,"Soins de longue durée",30,26,10671,NA,NA,NA,NA,NA,NA,NA,NA
"916","160000261",2024,"160014411","CHI DU PAYS DE COGNAC - SSR","04",1,355,"16","75",1,"16102",24000,"Soins de suite et réadaptation",40,298,11089,NA,0,NA,NA,NA,NA,NA,NA
"917","160000261",2024,"160014411","CHI DU PAYS DE COGNAC - SSR","04",1,355,"16","75",1,"16102",25000,"Soins de longue durée",37,29,10931,NA,NA,NA,NA,NA,NA,NA,NA
