"eval_counter";"datetime";"start_id";"objective_value";"best_value";"is_best";"n_rep_obj";"beta_Cancer centre (CLCC)";"beta_General public hospital";"beta_Private for profit hospital";"beta_Private not-for-profit hospital";"beta_Rehabilitation hospital";"beta_University hospital";"inc_sim_Cancer centre (CLCC)";"inc_sim_General public hospital";"inc_sim_Private for profit hospital";"inc_sim_Private not-for-profit hospital";"inc_sim_Rehabilitation hospital";"inc_sim_University hospital";"sse_Cancer centre (CLCC)";"sse_General public hospital";"sse_Private for profit hospital";"sse_Private not-for-profit hospital";"sse_Rehabilitation hospital";"sse_University hospital"
53;"2026-07-01 01:48:37";4;1.84680476312155;1.53853118699356;FALSE;5;0.00125585152479334;0.00222409828230388;0.000776957552535322;0.00289200413691963;0.00339137222270897;0.000283658302705337;0.0650422476609827;0.107542849140107;0.0323775772897505;0.13425339252261;0.149510192177918;0.0137741996575364;0.251111999085019;0.223631606442962;0.452754230309833;0.601821636850668;0.0327217812444954;0.284763509188577
54;"2026-07-01 01:52:11";4;1.76443128326627;1.53853118699356;FALSE;5;0.000554903989522038;0.00503355043730615;0.000776957552535322;0.00289200413691963;0.00339137222270897;0.000283658302705337;0.0246736994475818;0.24262190088178;0.0351471581330543;0.1406852610744;0.15408204410481;0.0134558867435609;0.29319984694724;0.114120990335042;0.449034764367725;0.591883683359152;0.031088663594331;0.285103334662777
55;"2026-07-01 01:55:27";4;1.82116043147542;1.53853118699356;FALSE;5;0.000554903989522038;0.00222409828230388;0.00175840027369714;0.00289200413691963;0.00339137222270897;0.000283658302705337;0.0202252381956145;0.103754218562171;0.0854092117801745;0.13218872307733;0.18487243536465;0.0130975152389327;0.298037135244434;0.227229224504509;0.384199777523998;0.605029323712295;0.0211788019760724;0.285486168514111
56;"2026-07-01 01:58:42";4;1.63165690723056;1.53853118699356;FALSE;5;0.000554903989522038;0.00222409828230388;0.000776957552535322;0.00654514632015442;0.00339137222270897;0.000283658302705337;0.0225447608445766;0.1049148057497;0.0381151919220362;0.313828445541807;0.174366692581045;0.0134030778630039;0.295509931753289;0.226124100913438;0.445065811367029;0.355450369883644;0.0243469611856416;0.285159732127514
57;"2026-07-01 02:01:54";4;1.85425320822027;1.53853118699356;FALSE;5;0.000554903989522038;0.00222409828230388;0.000776957552535322;0.00289200413691963;0.00767530970663835;0.000283658302705337;0.0288547001010784;0.101733710377957;0.0363244768439527;0.141468568468843;0.441497991631413;0.0126875563896782;0.288689476986517;0.229159601538151;0.447458306585355;0.59067903786658;0.0123423592108992;0.28592442603277
58;"2026-07-01 02:05:07";4;1.86865328819239;1.53853118699356;FALSE;5;0.000554903989522038;0.00222409828230388;0.000776957552535322;0.00289200413691963;0.00339137222270897;0.000641971798183732;0.0184456883689083;0.104033556988291;0.0361898730217676;0.134504478255968;0.171370851035381;0.0303518337111231;0.299983313395924;0.22696298928688;0.44763840395437;0.601432129512606;0.0252908492905997;0.267345602752007
59;"2026-07-01 02:08:22";4;1.73794066072229;1.53853118699356;FALSE;5;0.000728547709630753;0.00292007579718767;0.00102008753958948;0.00379698655980159;0.00445261975407342;0.000372422276026027;0.0228662279100462;0.140142509173499;0.0506251462439098;0.185420304396451;0.20952151133833;0.017573037369891;0.295160530795226;0.193861779083253;0.428530715393117;0.525052011483261;0.0146120491747501;0.280723574792685
60;"2026-07-01 02:11:35";4;1.7863067585416;1.53853118699356;FALSE;5;0.000680609426344207;0.00272793543502152;0.000952965997920373;0.00354714565723225;0.00415963832771463;0.000347916970011951;0.0263614015412968;0.129842835223368;0.0440456686350184;0.165015010854806;0.200453531164065;0.0156364812626536;0.291374983743406;0.203037701189166;0.437188154064617;0.555039931830745;0.0168865579354454;0.282779429778222
61;"2026-07-01 02:14:52";4;1.69046090305347;1.53853118699356;FALSE;5;0.000797758390371527;0.00319747758030554;0.00111699396328266;0.00415769323843575;0.00487561036976752;0.000137242440816992;0.0465866397369114;0.153655240038934;0.0511904727205864;0.196212774546107;0.240242016649119;0.00618670909674132;0.269949216170147;0.182145133100439;0.427790884039651;0.509527939106026;0.00812879025409483;0.29291894038311
62;"2026-07-01 02:18:10";4;1.75164497866554;1.53853118699356;FALSE;5;0.000728547709630753;0.00292007579718767;0.00102008753958948;0.00379698655980159;0.00445261975407342;0.000201834457847705;0.0296560715714275;0.13549024484393;0.0459400533133306;0.181454579762443;0.228017849891512;0.0090276666346002;0.287828968104789;0.197980182197758;0.434686600683351;0.530814904092679;0.010482477464434;0.289851846122529
63;"2026-07-01 02:21:40";4;1.66964998214317;1.53853118699356;FALSE;5;0.00090037319746131;0.00360876569590175;0.00126067170010887;0.00469249286542795;0.00185190869098436;0.000243840886014032;0.0448419002010088;0.164972075213243;0.0609864427480829;0.229916518585523;0.0852377186409963;0.0111738027659723;0.271765276271924;0.172613500896866;0.415072594667415;0.46254759022332;0.0601054369046838;0.287545583178961
64;"2026-07-01 02:25:05";4;1.73854816079251;1.53853118699356;FALSE;5;0.000797758390371526;0.00319747758030554;0.00111699396328266;0.00415769323843576;0.00264233972833007;0.000253237939257123;0.0261329762293475;0.155167342166336;0.0508230323378384;0.198607120398893;0.116753754847596;0.0125821424650882;0.291621640055975;0.18085673561437;0.428271673143387;0.506115445160763;0.0456454960130933;0.286037170804917
