cap,n_reps,beta_median,beta_q25,beta_q75,beta_ci95_lo,beta_ci95_hi,prev_median
Full range (main),1517,0.032,0.026,0.036,0.030762,0.031368,0.441468
10-50% restricted (sensitivity),868,0.027,0.024,0.031,0.027315,0.028022,0.27067
