cap,n_reps,beta_median,beta_q25,beta_q75,beta_ci95_lo,beta_ci95_hi,prev_median
40% cap,245,0.023,0.021,0.026,0.023628,0.024919,0.218375
50% cap,245,0.023,0.021,0.026,0.023628,0.024919,0.218375
