seed_rule,seed_type,beta_regime,rep_id,sim_seed,beta_within_iter,seed_hospital_iter
highest_in_degree + highest_out_degree + largest_outgoing,fixed,high,11,11011,0.032374558059402134,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,high,13,11013,0.03851945116072104,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,high,17,11017,0.03906857330551345,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,high,2,11002,0.04212319862880011,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,13,11013,5.557824619458048e-4,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,18,11018,0.003211175938422628,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,4,11004,0.0032115623371436796,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,12,11012,0.0034514416622792215,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,8,11008,0.0035295010399841497,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,20,11020,0.003562223327239644,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,3,11003,0.0036001061769761356,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,11,11011,0.005085265204119313,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,16,11016,0.005169270191932729,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,19,11019,0.005470742154229341,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,14,11014,0.005682275376178242,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,2,11002,0.005735981629763286,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,9,11009,0.005736733073273484,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,7,11007,0.005980174615304863,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,10,11010,0.007082184838806024,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,1,11001,0.007636923745742374,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,17,11017,0.007861800370371647,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,15,11015,0.008222135681357857,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,5,11005,0.008289253537182694,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,low,6,11006,0.0087864994275477,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,3,11003,0.0013348618875221787,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,17,11017,0.0031343546373878636,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,13,11013,0.005537319724398973,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,11,11011,0.007772066217095064,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,5,11005,0.00825717860820217,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,7,11007,0.008303860011077462,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,10,11010,0.008375840369998331,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,4,11004,0.009590111313124821,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,2,11002,0.011189451809136637,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,14,11014,0.011965251752898205,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,18,11018,0.012966210971235846,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,19,11019,0.01443747881619253,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,9,11009,0.014498754628620275,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,8,11008,0.014885892457082057,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,12,11012,0.015173067142046597,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,15,11015,0.01566944554800165,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,20,11020,0.016949320752733324,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,1,11001,0.017071836183330413,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,6,11006,0.020920363252501226,750100125
highest_in_degree + highest_out_degree + largest_outgoing,fixed,mid,16,11016,0.026613471699032925,750100125
largest_beds,fixed,high,19,11019,0.0013058846549176932,940000573
largest_beds,fixed,high,8,11008,0.007132926475165046,940000573
largest_beds,fixed,high,6,11006,0.011344124479703847,940000573
largest_beds,fixed,high,4,11004,0.01405929272109981,940000573
largest_beds,fixed,high,7,11007,0.01493883481448045,940000573
largest_beds,fixed,high,5,11005,0.015293539956781172,940000573
largest_beds,fixed,high,3,11003,0.01624922451388594,940000573
largest_beds,fixed,high,10,11010,0.019520846083861447,940000573
largest_beds,fixed,high,18,11018,0.02066338432746034,940000573
largest_beds,fixed,high,12,11012,0.021662029838736236,940000573
largest_beds,fixed,high,16,11016,0.023817363206988382,940000573
largest_beds,fixed,high,15,11015,0.027583093885849667,940000573
largest_beds,fixed,high,1,11001,0.02862659363199643,940000573
largest_beds,fixed,high,20,11020,0.029411075149386047,940000573
largest_beds,fixed,high,14,11014,0.030920565964364204,940000573
largest_beds,fixed,high,9,11009,0.03128659938883805,940000573
largest_beds,fixed,high,11,11011,0.032374558059402134,940000573
largest_beds,fixed,high,13,11013,0.03851945116072104,940000573
largest_beds,fixed,high,17,11017,0.03906857330551345,940000573
largest_beds,fixed,high,2,11002,0.04212319862880011,940000573
largest_beds,fixed,low,13,11013,5.557824619458048e-4,940000573
largest_beds,fixed,low,18,11018,0.003211175938422628,940000573
largest_beds,fixed,low,4,11004,0.0032115623371436796,940000573
largest_beds,fixed,low,12,11012,0.0034514416622792215,940000573
largest_beds,fixed,low,8,11008,0.0035295010399841497,940000573
largest_beds,fixed,low,20,11020,0.003562223327239644,940000573
largest_beds,fixed,low,3,11003,0.0036001061769761356,940000573
largest_beds,fixed,low,11,11011,0.005085265204119313,940000573
largest_beds,fixed,low,16,11016,0.005169270191932729,940000573
largest_beds,fixed,low,19,11019,0.005470742154229341,940000573
