"","finess_geo","n_patients","n_infected","prevalence","date"
"139","130044753",4,0,0,2024-01-07
"140","130045263",2,0,0,2024-01-07
"141","130050917",5,0,0,2024-01-07
"142","130780521",73,0,0,2024-01-07
"143","130781255",3,0,0,2024-01-07
"144","130781370",1,0,0,2024-01-07
"145","130781479",10,0,0,2024-01-07
"146","130781867",3,0,0,2024-01-07
"147","130782071",3,0,0,2024-01-07
"148","130782147",7,0,0,2024-01-07
"149","130782162",7,0,0,2024-01-07
"150","130782675",4,0,0,2024-01-07
"151","130783152",2,0,0,2024-01-07
"152","130783236",44,0,0,2024-01-07
"153","130783293",84,0,0,2024-01-07
"154","130783327",9,0,0,2024-01-07
"155","130783665",12,0,0,2024-01-07
"156","130783723",4,0,0,2024-01-07
"157","130784051",24,0,0,2024-01-07
"158","130784234",18,0,0,2024-01-07
"159","130784713",12,0,0,2024-01-07
"160","130784903",3,0,0,2024-01-07
"161","130785389",3,0,0,2024-01-07
"162","130785652",44,0,0,2024-01-07
"163","130785678",7,0,0,2024-01-07
"164","130786361",9,0,0,2024-01-07
"165","130786445",12,0,0,2024-01-07
"166","130786742",8,0,0,2024-01-07
"167","130789159",1,0,0,2024-01-07
"168","130804297",21,0,0,2024-01-07
"169","130809015",3,0,0,2024-01-07
"170","130810740",7,0,0,2024-01-07
"171","130811102",2,0,0,2024-01-07
"172","140000027",33,0,0,2024-01-07
"173","140000209",119,0,0,2024-01-07
"174","140000233",30,0,0,2024-01-07
"175","140000290",3,0,0,2024-01-07
"176","140000340",1,0,0,2024-01-07
"177","140000373",9,0,0,2024-01-07
"178","140000555",25,0,0,2024-01-07
"179","140002452",4,0,0,2024-01-07
"180","140004383",4,0,0,2024-01-07
"181","140016759",17,0,0,2024-01-07
"182","140017237",17,0,0,2024-01-07
"183","140018730",11,0,0,2024-01-07
"184","140024886",26,0,0,2024-01-07
"185","140026410",6,0,0,2024-01-07
"186","140026709",6,0,0,2024-01-07
"187","150000024",1,0,0,2024-01-07
"188","150000032",8,0,0,2024-01-07
"189","150000040",40,0,0,2024-01-07
"190","150000164",3,0,0,2024-01-07
"191","150000180",1,0,0,2024-01-07
"192","150780120",1,0,0,2024-01-07
"193","150780732",17,0,0,2024-01-07
"194","160000170",3,0,0,2024-01-07
"195","160000188",4,0,0,2024-01-07
"196","160000253",41,0,0,2024-01-07
"197","160000279",2,0,0,2024-01-07
"198","160000303",8,0,0,2024-01-07
"199","160000311",7,0,0,2024-01-07
"200","160000337",6,0,0,2024-01-07
"201","160000360",1,0,0,2024-01-07
"202","160013207",8,0,0,2024-01-07
"203","160015368",17,0,0,2024-01-07
"204","160017240",2,0,0,2024-01-07
"205","170000038",9,0,0,2024-01-07
"206","170000079",1,0,0,2024-01-07
"207","170000087",46,0,0,2024-01-07
"208","170000095",9,0,0,2024-01-07
"209","170000103",27,0,0,2024-01-07
"210","170000111",1,0,0,2024-01-07
"211","170000129",11,0,0,2024-01-07
"212","170000152",22,0,0,2024-01-07
"213","170000178",2,0,0,2024-01-07
"214","170780563",5,0,0,2024-01-07
"215","170780621",2,0,0,2024-01-07
"216","170780647",2,0,0,2024-01-07
"217","170780662",8,0,0,2024-01-07
"218","180000010",64,0,0,2024-01-07
"219","180000200",17,0,0,2024-01-07
"220","180000283",12,0,0,2024-01-07
"221","180004145",7,0,0,2024-01-07
"222","180010209",13,0,0,2024-01-07
"223","190000018",40,0,0,2024-01-07
"224","190000026",29,0,0,2024-01-07
"225","190000034",3,0,0,2024-01-07
"226","190000091",13,0,0,2024-01-07
"227","190000224",7,0,0,2024-01-07
"228","190013219",1,0,0,2024-01-07
"229","190013482",2,0,0,2024-01-07
"230","210011847",6,0,0,2024-01-07
"231","210012670",25,0,0,2024-01-07
"232","210780789",10,0,0,2024-01-07
"233","210986089",4,0,0,2024-01-07
"234","210986840",1,0,0,2024-01-07
"235","210987558",104,0,0,2024-01-07
"236","210987574",1,0,0,2024-01-07
"237","210987582",2,0,0,2024-01-07
"238","210987616",1,0,0,2024-01-07
"239","210987632",2,0,0,2024-01-07
"240","210987640",1,0,0,2024-01-07
"241","210987657",15,0,0,2024-01-07
"242","210987665",8,0,0,2024-01-07
"243","210987673",3,0,0,2024-01-07
"244","210987681",2,0,0,2024-01-07
"245","210987699",12,0,0,2024-01-07
"246","210987731",18,0,0,2024-01-07
"247","220000012",95,0,0,2024-01-07
"248","220000095",43,0,0,2024-01-07
"249","220000111",4,0,0,2024-01-07
"250","220000236",1,0,0,2024-01-07
"251","220000343",25,0,0,2024-01-07
"252","220000368",32,0,0,2024-01-07
"253","220000541",17,0,0,2024-01-07
"254","220000566",1,0,0,2024-01-07
"255","220000574",2,0,0,2024-01-07
"256","220001259",4,0,0,2024-01-07
"257","220005599",3,0,0,2024-01-07
"258","220022800",11,0,0,2024-01-07
"259","230000820",33,0,0,2024-01-07
"260","230000846",2,0,0,2024-01-07
"261","230000853",1,0,0,2024-01-07
"262","230004657",6,0,0,2024-01-07
"263","230780082",5,0,0,2024-01-07
"264","230780157",10,0,0,2024-01-07
"265","240000174",1,0,0,2024-01-07
"266","240000190",8,0,0,2024-01-07
"267","240000208",2,0,0,2024-01-07
"268","240000216",4,0,0,2024-01-07
"269","240000372",30,0,0,2024-01-07
"270","240000414",3,0,0,2024-01-07
"271","240000455",1,0,0,2024-01-07
"272","240000471",1,0,0,2024-01-07
"273","240000489",48,0,0,2024-01-07
"274","240000505",3,0,0,2024-01-07
"275","240000687",14,0,0,2024-01-07
"276","240015677",1,0,0,2024-01-07
"277","240017046",1,0,0,2024-01-07
"278","250000023",4,0,0,2024-01-07
"279","250000270",6,0,0,2024-01-07
"280","250000627",4,0,0,2024-01-07
"281","250000635",3,0,0,2024-01-07
"282","250000700",43,0,0,2024-01-07
"283","250000718",1,0,0,2024-01-07
"284","250000726",1,0,0,2024-01-07
"285","250000734",2,0,0,2024-01-07
"286","250004009",7,0,0,2024-01-07
"287","250006954",120,0,0,2024-01-07
"288","250011848",9,0,0,2024-01-07
"289","260000013",61,0,0,2024-01-07
"290","260000120",56,0,0,2024-01-07
"291","260000138",38,0,0,2024-01-07
"292","260000146",6,0,0,2024-01-07
"293","260000195",1,0,0,2024-01-07
"294","260000203",3,0,0,2024-01-07
"295","260000237",1,0,0,2024-01-07
"296","260000260",6,0,0,2024-01-07
"297","260000278",1,0,0,2024-01-07
"298","260000286",3,0,0,2024-01-07
"299","260003017",5,0,0,2024-01-07
"300","260006267",7,0,0,2024-01-07
"301","260020078",2,0,0,2024-01-07
"302","270000045",13,0,0,2024-01-07
"303","270000326",7,0,0,2024-01-07
"304","270000359",34,0,0,2024-01-07
"305","270000367",37,0,0,2024-01-07
"306","270000391",5,0,0,2024-01-07
"307","270000425",7,0,0,2024-01-07
"308","270000441",2,0,0,2024-01-07
"309","270000458",11,0,0,2024-01-07
"310","270000862",4,0,0,2024-01-07
"311","280000084",27,0,0,2024-01-07
"312","280000100",1,0,0,2024-01-07
"313","280000662",14,0,0,2024-01-07
"314","280502998",14,0,0,2024-01-07
"315","280504267",55,0,0,2024-01-07
"316","280505777",11,0,0,2024-01-07
"317","290000025",61,0,0,2024-01-07
"318","290000033",33,0,0,2024-01-07
"319","290000058",30,0,0,2024-01-07
"320","290000066",6,0,0,2024-01-07
"321","290000140",7,0,0,2024-01-07
"322","290000173",18,0,0,2024-01-07
"323","290000181",13,0,0,2024-01-07
"324","290000256",18,0,0,2024-01-07
"325","290000272",1,0,0,2024-01-07
"326","290000322",2,0,0,2024-01-07
"327","290000389",1,0,0,2024-01-07
"328","290000728",10,0,0,2024-01-07
"329","290000785",11,0,0,2024-01-07
"330","290000934",12,0,0,2024-01-07
"331","290000975",4,0,0,2024-01-07
"332","290001015",4,0,0,2024-01-07
"333","290004142",4,0,0,2024-01-07
"334","290004324",62,0,0,2024-01-07
"335","290004365",1,0,0,2024-01-07
"336","290019777",8,0,0,2024-01-07
"337","290023431",6,0,0,2024-01-07
"338","290036540",6,0,0,2024-01-07
"339","2A0000139",16,0,0,2024-01-07
"340","2A0000154",10,0,0,2024-01-07
"341","2A0000212",2,0,0,2024-01-07
"342","2A0000287",6,0,0,2024-01-07
"343","2A0002614",2,0,0,2024-01-07
"344","2A0004842",56,0,0,2024-01-07
"345","2B0000012",33,0,0,2024-01-07
"346","2B0000038",5,0,0,2024-01-07
"347","2B0000079",7,0,0,2024-01-07
"348","2B0000145",7,0,0,2024-01-07
"349","2B0000392",4,0,0,2024-01-07
"350","2B0005359",4,0,0,2024-01-07
"351","2B0005664",1,0,0,2024-01-07
"352","300000023",32,0,0,2024-01-07
"353","300000031",40,0,0,2024-01-07
"354","300000056",3,0,0,2024-01-07
"355","300000064",3,0,0,2024-01-07
"356","300000072",1,0,0,2024-01-07
"357","300000478",3,0,0,2024-01-07
"358","300002508",5,0,0,2024-01-07
"359","300008588",3,0,0,2024-01-07
"360","300012598",2,0,0,2024-01-07
"361","300017209",5,0,0,2024-01-07
"362","300017431",3,0,0,2024-01-07
"363","300780137",16,0,0,2024-01-07
"364","300780152",8,0,0,2024-01-07
"365","300782117",123,0,0,2024-01-07
"366","300782141",6,0,0,2024-01-07
"367","300788502",9,0,0,2024-01-07
"368","310000310",24,0,0,2024-01-07
"369","310013628",2,0,0,2024-01-07
"370","310016977",49,0,0,2024-01-07
"371","310019351",22,0,0,2024-01-07
"372","310021571",2,0,0,2024-01-07
"373","310022298",2,0,0,2024-01-07
"374","310025333",15,0,0,2024-01-07
"375","310026083",22,0,0,2024-01-07
"376","310026927",22,0,0,2024-01-07
"377","310780150",14,0,0,2024-01-07
"378","310780259",15,0,0,2024-01-07
"379","310780283",31,0,0,2024-01-07
"380","310780366",3,0,0,2024-01-07
"381","310780382",9,0,0,2024-01-07
"382","310781000",23,0,0,2024-01-07
"383","310781067",15,0,0,2024-01-07
"384","310781505",16,0,0,2024-01-07
"385","310781695",2,0,0,2024-01-07
"386","310782016",7,0,0,2024-01-07
"387","310782347",17,0,0,2024-01-07
"388","310783048",64,0,0,2024-01-07
"389","310783055",69,0,0,2024-01-07
"390","310783063",2,0,0,2024-01-07
"391","310786389",2,0,0,2024-01-07
"392","320000086",33,0,0,2024-01-07
"393","320000102",3,0,0,2024-01-07
"394","320000110",1,0,0,2024-01-07
"395","320000128",1,0,0,2024-01-07
"396","320000144",1,0,0,2024-01-07
"397","320000151",1,0,0,2024-01-07
"398","320000177",1,0,0,2024-01-07
"399","330000217",2,0,0,2024-01-07
"400","330000332",5,0,0,2024-01-07
"401","330000340",108,0,0,2024-01-07
"402","330000555",45,0,0,2024-01-07
"403","330000571",26,0,0,2024-01-07
"404","330000589",26,0,0,2024-01-07
"405","330000597",4,0,0,2024-01-07
"406","330000605",70,0,0,2024-01-07
"407","330000613",3,0,0,2024-01-07
"408","330000662",22,0,0,2024-01-07
"409","330058355",1,0,0,2024-01-07
"410","330058702",19,0,0,2024-01-07
"411","330060658",2,0,0,2024-01-07
"412","330780040",7,0,0,2024-01-07
"413","330780081",10,0,0,2024-01-07
"414","330780115",8,0,0,2024-01-07
"415","330780206",7,0,0,2024-01-07
"416","330780263",17,0,0,2024-01-07
"417","330780271",2,0,0,2024-01-07
"418","330780354",5,0,0,2024-01-07
"419","330780370",1,0,0,2024-01-07
"420","330780479",38,0,0,2024-01-07
"421","330780487",3,0,0,2024-01-07
"422","330780495",27,0,0,2024-01-07
"423","330780503",8,0,0,2024-01-07
"424","330780511",5,0,0,2024-01-07
"425","330780529",40,0,0,2024-01-07
"426","330780537",9,0,0,2024-01-07
"427","330781139",2,0,0,2024-01-07
"428","330781303",6,0,0,2024-01-07
"429","330781337",6,0,0,2024-01-07
"430","330781352",42,0,0,2024-01-07
"431","330781360",206,1,0.00485436893203883,2024-01-07
"432","330781402",7,0,0,2024-01-07
"433","330782582",6,0,0,2024-01-07
"434","330783648",105,0,0,2024-01-07
"435","330802752",3,0,0,2024-01-07
"436","330804501",1,0,0,2024-01-07
"437","340000025",5,0,0,2024-01-07
"438","340000033",43,0,0,2024-01-07
"439","340000173",2,0,0,2024-01-07
"440","340000207",32,0,0,2024-01-07
"441","340000215",1,0,0,2024-01-07
"442","340000223",20,0,0,2024-01-07
"443","340000231",1,0,0,2024-01-07
"444","340000249",2,0,0,2024-01-07
"445","340008275",3,0,0,2024-01-07
"446","340009885",10,0,0,2024-01-07
"447","340015502",15,0,0,2024-01-07
"448","340015965",12,0,0,2024-01-07
"449","340019603",3,0,0,2024-01-07
"450","340022979",21,0,0,2024-01-07
"451","340024314",8,0,0,2024-01-07
"452","340780139",2,0,0,2024-01-07
"453","340780147",4,0,0,2024-01-07
"454","340780154",4,0,0,2024-01-07
"455","340780436",2,0,0,2024-01-07
"456","340780444",2,0,0,2024-01-07
"457","340780485",7,0,0,2024-01-07
"458","340780568",1,0,0,2024-01-07
"459","340780642",14,0,0,2024-01-07
"460","340780667",15,0,0,2024-01-07
"461","340780675",21,0,0,2024-01-07
"462","340780717",6,0,0,2024-01-07
"463","340780725",5,0,0,2024-01-07
"464","340780741",7,0,0,2024-01-07
"465","340780840",3,0,0,2024-01-07
"466","340781608",10,0,0,2024-01-07
"467","340782036",42,0,0,2024-01-07
"468","340782085",50,0,0,2024-01-07
"469","340785161",69,0,0,2024-01-07
"470","340796663",55,0,0,2024-01-07
"471","350000063",3,0,0,2024-01-07
"472","350000071",5,0,0,2024-01-07
"473","350000121",14,0,0,2024-01-07
"474","350000139",38,0,0,2024-01-07
"475","350000147",91,0,0,2024-01-07
"476","350000154",38,0,0,2024-01-07
"477","350000162",16,0,0,2024-01-07
"478","350000188",10,0,0,2024-01-07
"479","350000196",5,0,0,2024-01-07
"480","350000204",3,0,0,2024-01-07
"481","350000212",1,0,0,2024-01-07
"482","350000410",2,0,0,2024-01-07
"483","350000436",2,0,0,2024-01-07
"484","350000444",1,0,0,2024-01-07
"485","350000741",72,0,0,2024-01-07
"486","350002200",2,0,0,2024-01-07
"487","350002812",8,0,0,2024-01-07
"488","350005021",3,0,0,2024-01-07
"489","350005146",10,0,0,2024-01-07
"490","350006771",2,0,0,2024-01-07
"491","350007084",37,0,0,2024-01-07
"492","350053013",1,0,0,2024-01-07
"493","350054680",19,0,0,2024-01-07
"494","360000038",5,0,0,2024-01-07
"495","360000129",5,0,0,2024-01-07
"496","360000137",30,0,0,2024-01-07
"497","360000145",3,0,0,2024-01-07
"498","360000160",5,0,0,2024-01-07
"499","360002232",1,0,0,2024-01-07
"500","370000093",10,0,0,2024-01-07
"501","370000499",21,0,0,2024-01-07
"502","370000531",10,0,0,2024-01-07
"503","370000580",1,0,0,2024-01-07
"504","370000861",56,0,0,2024-01-07
"505","370000879",19,0,0,2024-01-07
"506","370000903",7,0,0,2024-01-07
"507","370001109",1,0,0,2024-01-07
"508","370001158",1,0,0,2024-01-07
"509","370004467",42,0,0,2024-01-07
"510","370007569",17,0,0,2024-01-07
"511","370013286",3,0,0,2024-01-07
"512","380000018",1,0,0,2024-01-07
"513","380000026",3,0,0,2024-01-07
"514","380000034",26,0,0,2024-01-07
"515","380000042",7,0,0,2024-01-07
"516","380000059",1,0,0,2024-01-07
"517","380000067",138,0,0,2024-01-07
"518","380000091",6,0,0,2024-01-07
"519","380000109",1,0,0,2024-01-07
"520","380000174",61,0,0,2024-01-07
"521","380000406",35,0,0,2024-01-07
"522","380012658",53,0,0,2024-01-07
"523","380013037",2,0,0,2024-01-07
"524","380020123",5,0,0,2024-01-07
"525","380780197",8,0,0,2024-01-07
"526","380780288",4,0,0,2024-01-07
"527","380782722",10,0,0,2024-01-07
"528","380785956",12,0,0,2024-01-07
"529","380786442",11,0,0,2024-01-07
"530","390000040",24,0,0,2024-01-07
"531","390000057",2,0,0,2024-01-07
"532","390000065",7,0,0,2024-01-07
"533","390000164",1,0,0,2024-01-07
"534","390000222",42,0,0,2024-01-07
"535","390780559",2,0,0,2024-01-07
"536","390780575",5,0,0,2024-01-07
"537","390781193",1,0,0,2024-01-07
"538","400000105",41,0,0,2024-01-07
"539","400000139",78,0,0,2024-01-07
"540","400000147",1,0,0,2024-01-07
"541","400000261",2,0,0,2024-01-07
"542","400015103",5,0,0,2024-01-07
"543","400015236",3,0,0,2024-01-07
"544","400780342",4,0,0,2024-01-07
"545","410000020",26,0,0,2024-01-07
"546","410000038",12,0,0,2024-01-07
"547","410000046",20,0,0,2024-01-07
"548","410000053",1,0,0,2024-01-07
"549","410000202",10,0,0,2024-01-07
"550","410004998",19,0,0,2024-01-07
"551","420000010",56,0,0,2024-01-07
"552","420000192",1,0,0,2024-01-07
"553","420000226",16,0,0,2024-01-07
"554","420000234",17,0,0,2024-01-07
"555","420000267",7,0,0,2024-01-07
"556","420000317",1,0,0,2024-01-07
"557","420009599",2,0,0,2024-01-07
"558","420010050",18,0,0,2024-01-07
"559","420010241",16,0,0,2024-01-07
"560","420011413",28,0,0,2024-01-07
"561","420780504",10,0,0,2024-01-07
"562","420780637",17,0,0,2024-01-07
"563","420780744",1,0,0,2024-01-07
"564","420782310",8,0,0,2024-01-07
"565","420782559",5,0,0,2024-01-07
"566","420782567",8,0,0,2024-01-07
"567","420782591",2,0,0,2024-01-07
"568","420785354",133,0,0,2024-01-07
"569","430000109",4,0,0,2024-01-07
"570","430000117",34,0,0,2024-01-07
"571","430000190",11,0,0,2024-01-07
"572","430000299",1,0,0,2024-01-07
"573","430000307",2,0,0,2024-01-07
"574","430000356",1,0,0,2024-01-07
"575","430007450",2,0,0,2024-01-07
"576","440000016",45,0,0,2024-01-07
"577","440000271",127,0,0,2024-01-07
"578","440000396",35,0,0,2024-01-07
"579","440000404",2,0,0,2024-01-07
"580","440000412",10,0,0,2024-01-07
"581","440000453",4,0,0,2024-01-07
"582","440000487",2,0,0,2024-01-07
"583","440000503",26,0,0,2024-01-07
"584","440000560",2,0,0,2024-01-07
"585","440000883",1,0,0,2024-01-07
"586","440001113",26,0,0,2024-01-07
"587","440001253",4,0,0,2024-01-07
"588","440001287",1,0,0,2024-01-07
"589","440002020",6,0,0,2024-01-07
"590","440003291",7,0,0,2024-01-07
"591","440007607",1,0,0,2024-01-07
"592","440017598",45,0,0,2024-01-07
"593","440029338",24,0,0,2024-01-07
"594","440029379",33,0,0,2024-01-07
"595","440033819",18,0,0,2024-01-07
"596","440041580",19,0,0,2024-01-07
"597","440048718",2,0,0,2024-01-07
"598","440050433",15,0,0,2024-01-07
"599","440055945",1,0,0,2024-01-07
"600","450000047",8,0,0,2024-01-07
"601","450000062",30,0,0,2024-01-07
"602","450000070",11,0,0,2024-01-07
"603","450000120",1,0,0,2024-01-07
"604","450000245",5,0,0,2024-01-07
"605","450000260",1,0,0,2024-01-07
"606","450000294",7,0,0,2024-01-07
"607","450000336",1,0,0,2024-01-07
"608","450002613",111,0,0,2024-01-07
"609","450010079",9,0,0,2024-01-07
"610","450012968",2,0,0,2024-01-07
"611","450021449",13,0,0,2024-01-07
"612","460000045",14,0,0,2024-01-07
"613","460000052",2,0,0,2024-01-07
"614","460000102",9,0,0,2024-01-07
"615","460000110",49,0,0,2024-01-07
"616","460000227",1,0,0,2024-01-07
"617","470000027",29,0,0,2024-01-07
"618","470000423",60,0,0,2024-01-07
"619","470000431",11,0,0,2024-01-07
"620","470000480",26,0,0,2024-01-07
"621","470000522",2,0,0,2024-01-07
"622","470000563",2,0,0,2024-01-07
"623","470000571",1,0,0,2024-01-07
"624","470016049",4,0,0,2024-01-07
"625","480000017",20,0,0,2024-01-07
"626","480000033",1,0,0,2024-01-07
"627","480000041",1,0,0,2024-01-07
"628","480000066",1,0,0,2024-01-07
"629","480000074",1,0,0,2024-01-07
"630","480002948",4,0,0,2024-01-07
"631","490000049",121,0,0,2024-01-07
"632","490000155",26,0,0,2024-01-07
"633","490000254",1,0,0,2024-01-07
"634","490000262",10,0,0,2024-01-07
"635","490000320",2,0,0,2024-01-07
"636","490000338",1,0,0,2024-01-07
"637","490000635",48,0,0,2024-01-07
"638","490000650",1,0,0,2024-01-07
"639","490001765",35,0,0,2024-01-07
"640","490002037",20,0,0,2024-01-07
"641","490004256",1,0,0,2024-01-07
"642","490007929",2,0,0,2024-01-07
"643","490014909",23,0,0,2024-01-07
"644","490015906",10,0,0,2024-01-07
"645","490020245",2,0,0,2024-01-07
"646","490540440",1,0,0,2024-01-07
"647","500000021",18,0,0,2024-01-07
"648","500000146",9,0,0,2024-01-07
"649","500000187",40,0,0,2024-01-07
"650","500000195",1,0,0,2024-01-07
"651","500000203",5,0,0,2024-01-07
"652","500000260",6,0,0,2024-01-07
"653","500000401",3,0,0,2024-01-07
"654","500000427",2,0,0,2024-01-07
"655","500000450",33,0,0,2024-01-07
"656","500000468",7,0,0,2024-01-07
"657","500000476",1,0,0,2024-01-07
"658","500000591",5,0,0,2024-01-07
"659","500002357",4,0,0,2024-01-07
"660","500026307",5,0,0,2024-01-07
"661","510000169",32,0,0,2024-01-07
"662","510000177",1,0,0,2024-01-07
"663","510000185",7,0,0,2024-01-07
"664","510000219",1,0,0,2024-01-07
"665","510000235",18,0,0,2024-01-07
"666","510000243",6,0,0,2024-01-07
"667","510000250",6,0,0,2024-01-07
"668","510000466",1,0,0,2024-01-07
"669","510000516",18,0,0,2024-01-07
"670","510002447",69,0,0,2024-01-07
"671","510002454",1,0,0,2024-01-07
"672","510002470",13,0,0,2024-01-07
"673","510004302",30,0,0,2024-01-07
"674","510012040",2,0,0,2024-01-07
"675","510024979",15,0,0,2024-01-07
"676","510025091",2,0,0,2024-01-07
"677","520000019",1,0,0,2024-01-07
"678","520000027",16,0,0,2024-01-07
"679","520000035",1,0,0,2024-01-07
"680","520000043",5,0,0,2024-01-07
"681","520000050",1,0,0,2024-01-07
"682","520000068",16,0,0,2024-01-07
"683","520004680",6,0,0,2024-01-07
"684","520004714",7,0,0,2024-01-07
"685","520004722",1,0,0,2024-01-07
"686","520005398",2,0,0,2024-01-07
"687","520780156",1,0,0,2024-01-07
"688","520780180",4,0,0,2024-01-07
"689","520780214",7,0,0,2024-01-07
"690","530000017",40,0,0,2024-01-07
"691","530000132",1,0,0,2024-01-07
"692","530000140",2,0,0,2024-01-07
"693","530000165",3,0,0,2024-01-07
"694","530000173",34,0,0,2024-01-07
