pathogen,level,target_prevalence,beta_within,prev_median,prev_q25,prev_q75,dist,fit_quality
"MRSA
(S. aureus)",Low,0.01,0.014176470588235294,0.01201423316807932,7.496401727170958e-4,0.021319766512074206,0.0020142331680793202,Excellent
"MRSA
(S. aureus)",Mid,0.115,0.020941176470588234,0.06902686710379019,0.02263913321605629,0.15275667679513835,0.045973132896209815,Fair
"MRSA
(S. aureus)",High,0.25,0.02364705882352941,0.17779465856388932,0.08841755957140572,0.24717135774828083,0.07220534143611068,Poor
"VRE
(E. faecium)",Low,0.005,0.011470588235294118,0.0034183591875899567,2.9985606908683833e-5,0.010474972013433552,0.0015816408124100434,Excellent
"VRE
(E. faecium)",Mid,0.08,0.020941176470588234,0.06902686710379019,0.02263913321605629,0.15275667679513835,0.010973132896209811,Good
"VRE
(E. faecium)",High,0.18,0.02364705882352941,0.17779465856388932,0.08841755957140572,0.24717135774828083,0.002205341436110675,Excellent
"ESBL
(E. coli / K. pneumoniae)",Low,0.02,0.01688235294117647,0.019670558132096595,0.003088517511594434,0.04526827122980969,3.2944186790340516e-4,Excellent
"ESBL
(E. coli / K. pneumoniae)",Mid,0.12,0.025,0.16292179753718217,0.009025667679513833,0.2783164081241004,0.04292179753718217,Fair
"ESBL
(E. coli / K. pneumoniae)",High,0.3,0.02364705882352941,0.17779465856388932,0.08841755957140572,0.24717135774828083,0.12220534143611067,Poor
"CRE
(Carbapenem-R Entero.)",Low,0.002,0.01011764705882353,0.0020190308651847114,0,0.006187030225491765,1.9030865184711376e-5,Excellent
"CRE
(Carbapenem-R Entero.)",Mid,0.03,0.01688235294117647,0.019670558132096595,0.003088517511594434,0.04526827122980969,0.010329441867903404,Good
"CRE
(Carbapenem-R Entero.)",High,0.1,0.020941176470588234,0.06902686710379019,0.02263913321605629,0.15275667679513835,0.030973132896209815,Fair
"CRAB
(Carbapenem-R A. baumanii)",Low,0.01,0.014176470588235294,0.01201423316807932,7.496401727170958e-4,0.021319766512074206,0.0020142331680793202,Excellent
"CRAB
(Carbapenem-R A. baumanii)",Mid,0.07,0.020941176470588234,0.06902686710379019,0.02263913321605629,0.15275667679513835,9.731328962098162e-4,Excellent
"CRAB
(Carbapenem-R A. baumanii)",High,0.2,0.02364705882352941,0.17779465856388932,0.08841755957140572,0.24717135774828083,0.022205341436110693,Good
