amr_tier,n_reps,n_beta_values,beta_mean,beta_sd,beta_se,beta_ci95_lo,beta_ci95_hi,beta_median,beta_q25,beta_q75,beta_iqr,prev_mean,prev_median,prev_q25,prev_q75,prev_ci95_lo,prev_ci95_hi,description,prev_min,prev_max
Low,1866,40,0.012245,0.009301,2.15e-4,0.011823,0.012667,0.01,0.005,0.017,0.012,0.001987,0,0,0.001159,0.001793,0.002182,"CPE/CRE (N/W EU), VRE (N. EU nursing homes), CRAB",0,0.02
Mid,454,31,0.018564,0.005679,2.67e-4,0.01804,0.019088,0.017,0.015,0.021,0.006,0.053138,0.051615,0.031545,0.070596,0.050992,0.055284,"MRSA (N/W EU wards/ICU), VRE (DE/IT), ESBL-E (NL/Nordic)",0.02,0.1
High,1680,27,0.030192,0.006473,1.58e-4,0.029882,0.030502,0.031,0.025,0.036,0.011,0.528179,0.569687,0.274098,0.774008,0.515961,0.540396,"ESBL-E (CH/BE/FR), MRSA (S/E EU), MDRO nursing homes",0.1,0.4
