cap,n_reps,beta_median,beta_q25,beta_q75,beta_ci95_lo,beta_ci95_hi,prev_median
Full range (main),1680,0.031,0.025,0.036,0.029882,0.030502,0.569687
10-50% restricted (sensitivity),741,0.024,0.021,0.028,0.024697,0.025446,0.245722
