amr_tier,label,n_reps,hosp_median,hosp_q25,hosp_q75,hosp_mean,hosp_ci95_lo,hosp_ci95_hi
Low,6 months,1866,1,0,2,1.2,1.1,1.3
Low,12 months,1866,0,0,3,2.8,2.6,3
Low,18 months,1866,0,0,3,2.2,2,2.4
Low,24 months,1866,0,0,2,2,1.8,2.2
Low,30 months,1866,0,0,2,1.9,1.7,2
Low,36 months,1866,0,0,2,1.8,1.7,2
Mid,6 months,454,5,3,8,6.2,5.8,6.6
Mid,12 months,454,44,29,58,44.6,42.8,46.5
Mid,18 months,454,37,24,50,38.1,36.6,39.7
Mid,24 months,454,36,23,48,36.5,35,38
Mid,30 months,454,35,22,47,35.6,34.1,37
Mid,36 months,454,34,21,46,35,33.5,36.4
High,6 months,1680,29,14,70,53.4,50.5,56.3
High,12 months,1680,539.5,228,878,558.2,542.2,574.2
High,18 months,1680,500,203.8,822.2,519.5,504.3,534.7
High,24 months,1680,486.5,196,797.2,503.5,488.8,518.3
High,30 months,1680,477,193,778,492.9,478.5,507.3
High,36 months,1680,468,191,765.5,485.2,471.1,499.4
